Location.1,Values,Educational Attainment,Year
Bradley County,0.84,Percent high school graduate or higher,2017
Bradley County,0.10,"9th to 12th grade, no diploma",2017
Campbell County,0.10,Less than 9th grade,2017
Campbell County,0.12,Percent bachelor's degree or higher,2017
Campbell County,0.15,"9th to 12th grade, no diploma",2017
Campbell County,0.17,"Some college, no degree",2017
Campbell County,28593.00,Population 25 years and over,2017
Campbell County,0.04,Graduate or professional degree,2017
Campbell County,0.41,High school graduate (includes equivalency),2017
Campbell County,0.05,Associate's degree,2017
Campbell County,0.07,Bachelor's degree,2017
Campbell County,0.75,Percent high school graduate or higher,2017
Cannon County,0.12,Percent bachelor's degree or higher,2017
Cannon County,0.20,"Some college, no degree",2017
Cannon County,0.04,Graduate or professional degree,2017
Cannon County,0.48,High school graduate (includes equivalency),2017
Cannon County,0.05,Associate's degree,2017
Cannon County,0.06,Less than 9th grade,2017
Cannon County,0.08,Bachelor's degree,2017
Cannon County,0.85,Percent high school graduate or higher,2017
Cannon County,9834.00,Population 25 years and over,2017
Cannon County,0.10,"9th to 12th grade, no diploma",2017
Carroll County,0.10,Bachelor's degree,2017
Carroll County,0.12,"9th to 12th grade, no diploma",2017
Carroll County,0.16,Percent bachelor's degree or higher,2017
Carroll County,19385.00,Population 25 years and over,2017
Carroll County,0.20,"Some college, no degree",2017
Carroll County,0.04,Associate's degree,2017
Carroll County,0.42,High school graduate (includes equivalency),2017
Carroll County,0.06,Graduate or professional degree,2017
Carroll County,0.07,Less than 9th grade,2017
Carroll County,0.81,Percent high school graduate or higher,2017
Carter County,0.10,Bachelor's degree,2017
Carter County,0.11,"9th to 12th grade, no diploma",2017
Carter County,0.16,Percent bachelor's degree or higher,2017
Carter County,0.21,"Some college, no degree",2017
Carter County,0.41,High school graduate (includes equivalency),2017
Carter County,41355.00,Population 25 years and over,2017
Carter County,0.05,Associate's degree,2017
Carter County,0.05,Graduate or professional degree,2017
Carter County,0.07,Less than 9th grade,2017
Carter County,0.83,Percent high school graduate or higher,2017
Cheatham County,0.10,"9th to 12th grade, no diploma",2017
Cheatham County,0.13,Bachelor's degree,2017
Cheatham County,0.19,Percent bachelor's degree or higher,2017
Cheatham County,0.21,"Some college, no degree",2017
Cheatham County,27319.00,Population 25 years and over,2017
Cheatham County,0.04,Less than 9th grade,2017
Cheatham County,0.38,High school graduate (includes equivalency),2017
Cheatham County,0.07,Graduate or professional degree,2017
Cheatham County,0.08,Associate's degree,2017
Cheatham County,0.86,Percent high school graduate or higher,2017
Chester County,10863.00,Population 25 years and over,2017
Chester County,0.11,"9th to 12th grade, no diploma",2017
Chester County,0.17,Percent bachelor's degree or higher,2017
Chester County,0.21,"Some college, no degree",2017
Chester County,0.05,Less than 9th grade,2017
Chester County,0.41,High school graduate (includes equivalency),2017
Chester County,0.06,Associate's degree,2017
Chester County,0.07,Graduate or professional degree,2017
Chester County,0.85,Percent high school graduate or higher,2017
Chester County,0.09,Bachelor's degree,2017
Claiborne County,0.10,"9th to 12th grade, no diploma",2017
Claiborne County,0.11,Less than 9th grade,2017
Claiborne County,0.13,Percent bachelor's degree or higher,2017
Claiborne County,0.19,"Some college, no degree",2017
Claiborne County,22478.00,Population 25 years and over,2017
Claiborne County,0.41,High school graduate (includes equivalency),2017
Claiborne County,0.06,Graduate or professional degree,2017
Claiborne County,0.06,Associate's degree,2017
Claiborne County,0.08,Bachelor's degree,2017
Claiborne County,0.79,Percent high school graduate or higher,2017
Clay County,0.11,"9th to 12th grade, no diploma",2017
Clay County,0.12,Less than 9th grade,2017
Clay County,0.13,Percent bachelor's degree or higher,2017
Clay County,0.14,"Some college, no degree",2017
Clay County,0.45,High school graduate (includes equivalency),2017
Clay County,5600.00,Population 25 years and over,2017
Clay County,0.05,Associate's degree,2017
Clay County,0.06,Graduate or professional degree,2017
Clay County,0.07,Bachelor's degree,2017
Clay County,0.77,Percent high school graduate or higher,2017
Cocke County,0.11,Percent bachelor's degree or higher,2017
Cocke County,0.13,"9th to 12th grade, no diploma",2017
Cocke County,0.17,"Some college, no degree",2017
Cocke County,25364.00,Population 25 years and over,2017
Cocke County,0.04,Graduate or professional degree,2017
Cocke County,0.45,High school graduate (includes equivalency),2017
Cocke County,0.06,Associate's degree,2017
Cocke County,0.07,Bachelor's degree,2017
Cocke County,0.79,Percent high school graduate or higher,2017
Cocke County,0.08,Less than 9th grade,2017
Coffee County,0.12,Bachelor's degree,2017
Coffee County,0.19,Percent bachelor's degree or higher,2017
Coffee County,0.23,"Some college, no degree",2017
Coffee County,36721.00,Population 25 years and over,2017
Coffee County,0.38,High school graduate (includes equivalency),2017
Coffee County,0.04,Less than 9th grade,2017
Coffee County,0.07,Graduate or professional degree,2017
Coffee County,0.07,Associate's degree,2017
Coffee County,0.87,Percent high school graduate or higher,2017
Coffee County,0.09,"9th to 12th grade, no diploma",2017
Crockett County,0.13,"9th to 12th grade, no diploma",2017
Crockett County,0.13,Percent bachelor's degree or higher,2017
Crockett County,0.19,"Some college, no degree",2017
Crockett County,0.05,Graduate or professional degree,2017
Crockett County,0.42,High school graduate (includes equivalency),2017
Crockett County,0.06,Associate's degree,2017
Crockett County,0.08,Less than 9th grade,2017
Crockett County,0.79,Percent high school graduate or higher,2017
Crockett County,0.08,Bachelor's degree,2017
Crockett County,9854.00,Population 25 years and over,2017
Cumberland County,0.12,Bachelor's degree,2017
Cumberland County,0.19,Percent bachelor's degree or higher,2017
Cumberland County,0.20,"Some college, no degree",2017
Cumberland County,0.38,High school graduate (includes equivalency),2017
Cumberland County,44068.00,Population 25 years and over,2017
Cumberland County,0.06,Less than 9th grade,2017
Cumberland County,0.07,Graduate or professional degree,2017
Cumberland County,0.08,Associate's degree,2017
Cumberland County,0.85,Percent high school graduate or higher,2017
Cumberland County,0.09,"9th to 12th grade, no diploma",2017
Davidson County,0.15,Graduate or professional degree,2017
Davidson County,0.20,"Some college, no degree",2017
Davidson County,0.23,High school graduate (includes equivalency),2017
Davidson County,0.25,Bachelor's degree,2017
Davidson County,0.39,Percent bachelor's degree or higher,2017
Davidson County,0.05,Less than 9th grade,2017
Davidson County,464026.00,Population 25 years and over,2017
Davidson County,0.06,Associate's degree,2017
Davidson County,0.07,"9th to 12th grade, no diploma",2017
Davidson County,0.88,Percent high school graduate or higher,2017
Decatur County,0.11,"9th to 12th grade, no diploma",2017
Decatur County,0.12,Percent bachelor's degree or higher,2017
Decatur County,0.22,"Some college, no degree",2017
Decatur County,0.04,Graduate or professional degree,2017
Decatur County,0.44,High school graduate (includes equivalency),2017
Decatur County,0.06,Associate's degree,2017
Decatur County,0.06,Less than 9th grade,2017
Decatur County,0.08,Bachelor's degree,2017
Decatur County,8390.00,Population 25 years and over,2017
Decatur County,0.83,Percent high school graduate or higher,2017
DeKalb County,13623.00,Population 25 years and over,2017
DeKalb County,0.14,Percent bachelor's degree or higher,2017
DeKalb County,0.14,"9th to 12th grade, no diploma",2017
DeKalb County,0.16,"Some college, no degree",2017
DeKalb County,0.05,Graduate or professional degree,2017
DeKalb County,0.43,High school graduate (includes equivalency),2017
DeKalb County,0.07,Associate's degree,2017
DeKalb County,0.07,Less than 9th grade,2017
DeKalb County,0.79,Percent high school graduate or higher,2017
DeKalb County,0.09,Bachelor's degree,2017
Dickson County,0.12,"9th to 12th grade, no diploma",2017
Dickson County,0.15,Percent bachelor's degree or higher,2017
Dickson County,0.20,"Some college, no degree",2017
Dickson County,35020.00,Population 25 years and over,2017
Dickson County,0.43,High school graduate (includes equivalency),2017
Dickson County,0.05,Graduate or professional degree,2017
Dickson County,0.05,Associate's degree,2017
Dickson County,0.06,Less than 9th grade,2017
Dickson County,0.83,Percent high school graduate or higher,2017
Dickson County,0.10,Bachelor's degree,2017
Dyer County,0.12,Bachelor's degree,2017
Dyer County,0.18,Percent bachelor's degree or higher,2017
Dyer County,0.19,"Some college, no degree",2017
Dyer County,25448.00,Population 25 years and over,2017
Dyer County,0.39,High school graduate (includes equivalency),2017
Dyer County,0.07,Graduate or professional degree,2017
Dyer County,0.08,Less than 9th grade,2017
Dyer County,0.08,Associate's degree,2017
Dyer County,0.09,"9th to 12th grade, no diploma",2017
Dyer County,0.84,Percent high school graduate or higher,2017
Fayette County,0.15,Bachelor's degree,2017
Fayette County,0.22,Percent bachelor's degree or higher,2017
Fayette County,0.24,"Some college, no degree",2017
Fayette County,28528.00,Population 25 years and over,2017
Fayette County,0.04,Less than 9th grade,2017
Fayette County,0.34,High school graduate (includes equivalency),2017
Fayette County,0.06,Associate's degree,2017
Fayette County,0.08,Graduate or professional degree,2017
Fayette County,0.87,Percent high school graduate or higher,2017
Fayette County,0.09,"9th to 12th grade, no diploma",2017
Fentress County,0.12,Percent bachelor's degree or higher,2017
Fentress County,12735.00,Population 25 years and over,2017
Fentress County,0.13,"9th to 12th grade, no diploma",2017
Fentress County,0.16,"Some college, no degree",2017
Fentress County,0.04,Graduate or professional degree,2017
Fentress County,0.44,High school graduate (includes equivalency),2017
Fentress County,0.05,Associate's degree,2017
Fentress County,0.07,Bachelor's degree,2017
Fentress County,0.78,Percent high school graduate or higher,2017
Fentress County,0.10,Less than 9th grade,2017
Franklin County,0.12,Bachelor's degree,2017
Franklin County,0.19,"Some college, no degree",2017
Franklin County,0.21,Percent bachelor's degree or higher,2017
Franklin County,28183.00,Population 25 years and over,2017
Franklin County,0.39,High school graduate (includes equivalency),2017
Franklin County,0.06,Less than 9th grade,2017
Franklin County,0.08,Associate's degree,2017
Franklin County,0.08,Graduate or professional degree,2017
Franklin County,0.08,"9th to 12th grade, no diploma",2017
Franklin County,0.86,Percent high school graduate or higher,2017
Gibson County,0.11,Bachelor's degree,2017
Gibson County,0.18,Percent bachelor's degree or higher,2017
Gibson County,0.22,"Some college, no degree",2017
Gibson County,33168.00,Population 25 years and over,2017
Gibson County,0.38,High school graduate (includes equivalency),2017
Gibson County,0.06,Less than 9th grade,2017
Gibson County,0.06,Associate's degree,2017
Gibson County,0.07,Graduate or professional degree,2017
Gibson County,0.85,Percent high school graduate or higher,2017
Gibson County,0.10,"9th to 12th grade, no diploma",2017
Giles County,0.15,Percent bachelor's degree or higher,2017
Giles County,0.19,"Some college, no degree",2017
Giles County,20447.00,Population 25 years and over,2017
Giles County,0.45,High school graduate (includes equivalency),2017
Giles County,0.05,Graduate or professional degree,2017
Giles County,0.06,Less than 9th grade,2017
Giles County,0.06,Associate's degree,2017
Giles County,0.85,Percent high school graduate or higher,2017
Giles County,0.10,Bachelor's degree,2017
Giles County,0.10,"9th to 12th grade, no diploma",2017
Grainger County,0.11,Percent bachelor's degree or higher,2017
Grainger County,16468.00,Population 25 years and over,2017
Grainger County,0.17,"Some college, no degree",2017
Grainger County,0.03,Graduate or professional degree,2017
Grainger County,0.45,High school graduate (includes equivalency),2017
Grainger County,0.08,Bachelor's degree,2017
Grainger County,0.08,Associate's degree,2017
Grainger County,0.81,Percent high school graduate or higher,2017
Grainger County,0.10,Less than 9th grade,2017
Grainger County,0.10,"9th to 12th grade, no diploma",2017
Greene County,0.15,Percent bachelor's degree or higher,2017
Greene County,0.19,"Some college, no degree",2017
Greene County,0.43,High school graduate (includes equivalency),2017
Greene County,49161.00,Population 25 years and over,2017
Greene County,0.05,Graduate or professional degree,2017
Greene County,0.06,Associate's degree,2017
Greene County,0.08,Less than 9th grade,2017
Greene County,0.83,Percent high school graduate or higher,2017
Greene County,0.10,"9th to 12th grade, no diploma",2017
Greene County,0.10,Bachelor's degree,2017
Grundy County,0.11,Percent bachelor's degree or higher,2017
Grundy County,0.12,"9th to 12th grade, no diploma",2017
Grundy County,0.15,"Some college, no degree",2017
Grundy County,0.15,Less than 9th grade,2017
Grundy County,0.04,Graduate or professional degree,2017
Grundy County,0.41,High school graduate (includes equivalency),2017
Grundy County,0.07,Associate's degree,2017
Grundy County,0.07,Bachelor's degree,2017
Grundy County,0.73,Percent high school graduate or higher,2017
Grundy County,9312.00,Population 25 years and over,2017
Hamblen County,0.11,Bachelor's degree,2017
Hamblen County,0.16,Percent bachelor's degree or higher,2017
Hamblen County,0.18,"Some college, no degree",2017
Hamblen County,0.41,High school graduate (includes equivalency),2017
Hamblen County,43565.00,Population 25 years and over,2017
Hamblen County,0.06,Graduate or professional degree,2017
Hamblen County,0.07,Associate's degree,2017
Hamblen County,0.08,Less than 9th grade,2017
Hamblen County,0.82,Percent high school graduate or higher,2017
Hamblen County,0.10,"9th to 12th grade, no diploma",2017
Hamilton County,0.11,Graduate or professional degree,2017
Hamilton County,0.20,Bachelor's degree,2017
Hamilton County,0.22,"Some college, no degree",2017
Hamilton County,247228.00,Population 25 years and over,2017
Hamilton County,0.28,High school graduate (includes equivalency),2017
Hamilton County,0.04,Less than 9th grade,2017
Hamilton County,0.31,Percent bachelor's degree or higher,2017
Hamilton County,0.08,"9th to 12th grade, no diploma",2017
Hamilton County,0.08,Associate's degree,2017
Hamilton County,0.89,Percent high school graduate or higher,2017
Hancock County,0.10,Less than 9th grade,2017
Hancock County,0.10,Percent bachelor's degree or higher,2017
Hancock County,0.13,"9th to 12th grade, no diploma",2017
Hancock County,0.20,"Some college, no degree",2017
Hancock County,4776.00,Population 25 years and over,2017
Hancock County,0.05,Graduate or professional degree,2017
Hancock County,0.05,Associate's degree,2017
Hancock County,0.43,High school graduate (includes equivalency),2017
Hancock County,0.06,Bachelor's degree,2017
Hancock County,0.77,Percent high school graduate or higher,2017
Hardeman County,0.11,Percent bachelor's degree or higher,2017
Hardeman County,0.15,"Some college, no degree",2017
Hardeman County,0.16,"9th to 12th grade, no diploma",2017
Hardeman County,18313.00,Population 25 years and over,2017
Hardeman County,0.04,Graduate or professional degree,2017
Hardeman County,0.05,Associate's degree,2017
Hardeman County,0.48,High school graduate (includes equivalency),2017
Hardeman County,0.05,Less than 9th grade,2017
Hardeman County,0.07,Bachelor's degree,2017
Hardeman County,0.78,Percent high school graduate or higher,2017
Hardin County,0.12,"9th to 12th grade, no diploma",2017
Hardin County,0.13,Percent bachelor's degree or higher,2017
Hardin County,18652.00,Population 25 years and over,2017
Hardin County,0.19,"Some college, no degree",2017
Hardin County,0.05,Graduate or professional degree,2017
Hardin County,0.43,High school graduate (includes equivalency),2017
Hardin County,0.05,Associate's degree,2017
Hardin County,0.08,Less than 9th grade,2017
Hardin County,0.08,Bachelor's degree,2017
Hardin County,0.80,Percent high school graduate or higher,2017
Hawkins County,0.10,"9th to 12th grade, no diploma",2017
Hawkins County,0.13,Percent bachelor's degree or higher,2017
Hawkins County,0.20,"Some college, no degree",2017
Hawkins County,0.04,Graduate or professional degree,2017
Hawkins County,40470.00,Population 25 years and over,2017
Hawkins County,0.43,High school graduate (includes equivalency),2017
Hawkins County,0.07,Less than 9th grade,2017
Hawkins County,0.07,Associate's degree,2017
Hawkins County,0.09,Bachelor's degree,2017
Hawkins County,0.83,Percent high school graduate or higher,2017
Haywood County,12427.00,Population 25 years and over,2017
Haywood County,0.12,Percent bachelor's degree or higher,2017
Haywood County,0.13,"9th to 12th grade, no diploma",2017
Haywood County,0.19,"Some college, no degree",2017
Haywood County,0.05,Associate's degree,2017
Haywood County,0.05,Graduate or professional degree,2017
Haywood County,0.45,High school graduate (includes equivalency),2017
Haywood County,0.06,Less than 9th grade,2017
Haywood County,0.08,Bachelor's degree,2017
Haywood County,0.81,Percent high school graduate or higher,2017
Henderson County,0.13,"9th to 12th grade, no diploma",2017
Henderson County,0.14,Percent bachelor's degree or higher,2017
Henderson County,19337.00,Population 25 years and over,2017
Henderson County,0.20,"Some college, no degree",2017
Henderson County,0.05,Graduate or professional degree,2017
Henderson County,0.40,High school graduate (includes equivalency),2017
Henderson County,0.06,Less than 9th grade,2017
Henderson County,0.07,Associate's degree,2017
Henderson County,0.81,Percent high school graduate or higher,2017
Henderson County,0.10,Bachelor's degree,2017
Henry County,0.16,Percent bachelor's degree or higher,2017
Henry County,0.18,"Some college, no degree",2017
Henry County,23243.00,Population 25 years and over,2017
Henry County,0.04,Associate's degree,2017
Henry County,0.47,High school graduate (includes equivalency),2017
Henry County,0.05,Less than 9th grade,2017
Henry County,0.07,Graduate or professional degree,2017
Henry County,0.09,Bachelor's degree,2017
Henry County,0.85,Percent high school graduate or higher,2017
Henry County,0.10,"9th to 12th grade, no diploma",2017
Hickman County,0.11,Percent bachelor's degree or higher,2017
Hickman County,0.14,"9th to 12th grade, no diploma",2017
Hickman County,17137.00,Population 25 years and over,2017
Hickman County,0.18,"Some college, no degree",2017
Hickman County,0.04,Graduate or professional degree,2017
Hickman County,0.44,High school graduate (includes equivalency),2017
Hickman County,0.06,Associate's degree,2017
Hickman County,0.07,Bachelor's degree,2017
Hickman County,0.07,Less than 9th grade,2017
Hickman County,0.79,Percent high school graduate or higher,2017
Houston County,0.11,Percent bachelor's degree or higher,2017
Houston County,0.16,"Some college, no degree",2017
Houston County,0.17,"9th to 12th grade, no diploma",2017
Houston County,0.03,Graduate or professional degree,2017
Houston County,0.04,Associate's degree,2017
Houston County,0.46,High school graduate (includes equivalency),2017
Houston County,5714.00,Population 25 years and over,2017
Houston County,0.06,Less than 9th grade,2017
Houston County,0.77,Percent high school graduate or higher,2017
Houston County,0.08,Bachelor's degree,2017
Humphreys County,0.12,"9th to 12th grade, no diploma",2017
Humphreys County,12890.00,Population 25 years and over,2017
Humphreys County,0.13,Percent bachelor's degree or higher,2017
Humphreys County,0.21,"Some college, no degree",2017
Humphreys County,0.05,Associate's degree,2017
Humphreys County,0.44,High school graduate (includes equivalency),2017
Humphreys County,0.05,Less than 9th grade,2017
Humphreys County,0.05,Graduate or professional degree,2017
Humphreys County,0.07,Bachelor's degree,2017
Humphreys County,0.83,Percent high school graduate or higher,2017
Jackson County,0.11,Less than 9th grade,2017
Jackson County,0.12,"9th to 12th grade, no diploma",2017
Jackson County,0.17,"Some college, no degree",2017
Jackson County,0.03,Graduate or professional degree,2017
Jackson County,0.05,Bachelor's degree,2017
Jackson County,0.47,High school graduate (includes equivalency),2017
Jackson County,0.06,Associate's degree,2017
Jackson County,0.78,Percent high school graduate or higher,2017
Jackson County,8551.00,Population 25 years and over,2017
Jackson County,0.08,Percent bachelor's degree or higher,2017
Jefferson County,0.16,Percent bachelor's degree or higher,2017
Jefferson County,0.21,"Some college, no degree",2017
Jefferson County,37176.00,Population 25 years and over,2017
Jefferson County,0.38,High school graduate (includes equivalency),2017
Jefferson County,0.06,Graduate or professional degree,2017
Jefferson County,0.07,Less than 9th grade,2017
Jefferson County,0.08,Associate's degree,2017
Jefferson County,0.83,Percent high school graduate or higher,2017
Jefferson County,0.10,"9th to 12th grade, no diploma",2017
Jefferson County,0.10,Bachelor's degree,2017
Johnson County,0.11,Percent bachelor's degree or higher,2017
Johnson County,13489.00,Population 25 years and over,2017
Johnson County,0.14,"9th to 12th grade, no diploma",2017
Johnson County,0.18,"Some college, no degree",2017
Johnson County,0.03,Graduate or professional degree,2017
Johnson County,0.41,High school graduate (includes equivalency),2017
Johnson County,0.08,Associate's degree,2017
Johnson County,0.08,Bachelor's degree,2017
Johnson County,0.77,Percent high school graduate or higher,2017
Johnson County,0.09,Less than 9th grade,2017
Knox County,0.15,Graduate or professional degree,2017
Knox County,0.03,Less than 9th grade,2017
Knox County,0.21,"Some college, no degree",2017
Knox County,0.22,Bachelor's degree,2017
Knox County,0.26,High school graduate (includes equivalency),2017
Knox County,300733.00,Population 25 years and over,2017
Knox County,0.37,Percent bachelor's degree or higher,2017
Knox County,0.06,"9th to 12th grade, no diploma",2017
Knox County,0.08,Associate's degree,2017
Knox County,0.91,Percent high school graduate or higher,2017
Lake County,0.10,Less than 9th grade,2017
Lake County,0.14,"Some college, no degree",2017
Lake County,0.16,"9th to 12th grade, no diploma",2017
Lake County,0.04,Associate's degree,2017
Lake County,0.04,Graduate or professional degree,2017
Lake County,0.46,High school graduate (includes equivalency),2017
Lake County,5666.00,Population 25 years and over,2017
Lake County,0.05,Bachelor's degree,2017
Lake County,0.74,Percent high school graduate or higher,2017
Lake County,0.09,Percent bachelor's degree or higher,2017
Lauderdale County,0.16,"9th to 12th grade, no diploma",2017
Lauderdale County,17960.00,Population 25 years and over,2017
Lauderdale County,0.18,"Some college, no degree",2017
Lauderdale County,0.03,Graduate or professional degree,2017
Lauderdale County,0.05,Associate's degree,2017
Lauderdale County,0.45,High school graduate (includes equivalency),2017
Lauderdale County,0.05,Bachelor's degree,2017
Lauderdale County,0.75,Percent high school graduate or higher,2017
Lauderdale County,0.09,Percent bachelor's degree or higher,2017
Lauderdale County,0.09,Less than 9th grade,2017
Lawrence County,0.10,"9th to 12th grade, no diploma",2017
Lawrence County,0.12,Percent bachelor's degree or higher,2017
Lawrence County,0.18,"Some college, no degree",2017
Lawrence County,28675.00,Population 25 years and over,2017
Lawrence County,0.44,High school graduate (includes equivalency),2017
Lawrence County,0.05,Graduate or professional degree,2017
Lawrence County,0.07,Associate's degree,2017
Lawrence County,0.07,Bachelor's degree,2017
Lawrence County,0.09,Less than 9th grade,2017
Lawrence County,0.81,Percent high school graduate or higher,2017
Lewis County,0.10,"9th to 12th grade, no diploma",2017
Lewis County,0.12,Percent bachelor's degree or higher,2017
Lewis County,0.21,"Some college, no degree",2017
Lewis County,0.04,Graduate or professional degree,2017
Lewis County,0.43,High school graduate (includes equivalency),2017
Lewis County,0.07,Less than 9th grade,2017
Lewis County,0.08,Associate's degree,2017
Lewis County,8530.00,Population 25 years and over,2017
Lewis County,0.08,Bachelor's degree,2017
Lewis County,0.83,Percent high school graduate or higher,2017
Lincoln County,0.12,"9th to 12th grade, no diploma",2017
Lincoln County,0.12,Bachelor's degree,2017
Lincoln County,0.17,"Some college, no degree",2017
Lincoln County,0.18,Percent bachelor's degree or higher,2017
Lincoln County,23620.00,Population 25 years and over,2017
Lincoln County,0.41,High school graduate (includes equivalency),2017
Lincoln County,0.06,Less than 9th grade,2017
Lincoln County,0.06,Graduate or professional degree,2017
Lincoln County,0.06,Associate's degree,2017
Lincoln County,0.83,Percent high school graduate or higher,2017
Loudon County,0.10,Graduate or professional degree,2017
Loudon County,0.16,Bachelor's degree,2017
Loudon County,0.19,"Some college, no degree",2017
Loudon County,0.26,Percent bachelor's degree or higher,2017
Loudon County,0.34,High school graduate (includes equivalency),2017
Loudon County,37341.00,Population 25 years and over,2017
Loudon County,0.07,Associate's degree,2017
Loudon County,0.07,Less than 9th grade,2017
Loudon County,0.08,"9th to 12th grade, no diploma",2017
Loudon County,0.85,Percent high school graduate or higher,2017
Macon County,0.11,"9th to 12th grade, no diploma",2017
Macon County,15655.00,Population 25 years and over,2017
Macon County,0.15,"Some college, no degree",2017
Macon County,0.04,Graduate or professional degree,2017
Macon County,0.47,High school graduate (includes equivalency),2017
Macon County,0.06,Bachelor's degree,2017
Macon County,0.07,Associate's degree,2017
Macon County,0.79,Percent high school graduate or higher,2017
Macon County,0.10,Percent bachelor's degree or higher,2017
Macon County,0.10,Less than 9th grade,2017
Madison County,0.17,Bachelor's degree,2017
Madison County,0.21,"Some college, no degree",2017
Madison County,0.26,Percent bachelor's degree or higher,2017
Madison County,0.04,Less than 9th grade,2017
Madison County,0.34,High school graduate (includes equivalency),2017
Madison County,64697.00,Population 25 years and over,2017
Madison County,0.07,Associate's degree,2017
Madison County,0.08,"9th to 12th grade, no diploma",2017
Madison County,0.89,Percent high school graduate or higher,2017
Madison County,0.09,Graduate or professional degree,2017
Marion County,0.11,"9th to 12th grade, no diploma",2017
Marion County,0.13,Percent bachelor's degree or higher,2017
Marion County,20220.00,Population 25 years and over,2017
Marion County,0.23,"Some college, no degree",2017
Marion County,0.38,High school graduate (includes equivalency),2017
Marion County,0.05,Graduate or professional degree,2017
Marion County,0.07,Associate's degree,2017
Marion County,0.08,Less than 9th grade,2017
Marion County,0.09,Bachelor's degree,2017
Marion County,0.81,Percent high school graduate or higher,2017
Marshall County,0.13,Percent bachelor's degree or higher,2017
Marshall County,0.21,"Some college, no degree",2017
Marshall County,21771.00,Population 25 years and over,2017
Marshall County,0.04,Graduate or professional degree,2017
Marshall County,0.43,High school graduate (includes equivalency),2017
Marshall County,0.06,Less than 9th grade,2017
Marshall County,0.08,Associate's degree,2017
Marshall County,0.09,"9th to 12th grade, no diploma",2017
Marshall County,0.85,Percent high school graduate or higher,2017
Marshall County,0.10,Bachelor's degree,2017
Maury County,0.14,Bachelor's degree,2017
Maury County,0.21,Percent bachelor's degree or higher,2017
Maury County,0.23,"Some college, no degree",2017
Maury County,0.04,Less than 9th grade,2017
Maury County,0.36,High school graduate (includes equivalency),2017
Maury County,0.07,"9th to 12th grade, no diploma",2017
Maury County,0.07,Graduate or professional degree,2017
Maury County,60140.00,Population 25 years and over,2017
Maury County,0.89,Percent high school graduate or higher,2017
Maury County,0.09,Associate's degree,2017
McMinn County,0.15,Percent bachelor's degree or higher,2017
McMinn County,0.18,"Some college, no degree",2017
McMinn County,36911.00,Population 25 years and over,2017
McMinn County,0.43,High school graduate (includes equivalency),2017
McMinn County,0.06,Graduate or professional degree,2017
McMinn County,0.06,Less than 9th grade,2017
McMinn County,0.08,Associate's degree,2017
McMinn County,0.84,Percent high school graduate or higher,2017
McMinn County,0.10,"9th to 12th grade, no diploma",2017
McMinn County,0.10,Bachelor's degree,2017
McNairy County,0.12,"9th to 12th grade, no diploma",2017
McNairy County,0.12,Percent bachelor's degree or higher,2017
McNairy County,0.18,"Some college, no degree",2017
McNairy County,18111.00,Population 25 years and over,2017
McNairy County,0.04,Graduate or professional degree,2017
McNairy County,0.44,High school graduate (includes equivalency),2017
McNairy County,0.06,Associate's degree,2017
McNairy County,0.08,Less than 9th grade,2017
McNairy County,0.08,Bachelor's degree,2017
McNairy County,0.80,Percent high school graduate or higher,2017
Meigs County,0.11,"9th to 12th grade, no diploma",2017
Meigs County,0.20,"Some college, no degree",2017
Meigs County,0.05,Bachelor's degree,2017
Meigs County,0.05,Graduate or professional degree,2017
Meigs County,0.46,High school graduate (includes equivalency),2017
Meigs County,0.07,Less than 9th grade,2017
Meigs County,0.07,Associate's degree,2017
Meigs County,8549.00,Population 25 years and over,2017
Meigs County,0.82,Percent high school graduate or higher,2017
Meigs County,0.10,Percent bachelor's degree or higher,2017
Monroe County,0.12,Percent bachelor's degree or higher,2017
Monroe County,0.12,"9th to 12th grade, no diploma",2017
Monroe County,0.18,"Some college, no degree",2017
Monroe County,32041.00,Population 25 years and over,2017
Monroe County,0.04,Graduate or professional degree,2017
Monroe County,0.41,High school graduate (includes equivalency),2017
Monroe County,0.07,Associate's degree,2017
Monroe County,0.08,Bachelor's degree,2017
Monroe County,0.78,Percent high school graduate or higher,2017
Monroe County,0.10,Less than 9th grade,2017
Montgomery County,117962.00,Population 25 years and over,2017
Montgomery County,0.18,Bachelor's degree,2017
Montgomery County,0.03,Less than 9th grade,2017
Montgomery County,0.26,Percent bachelor's degree or higher,2017
Montgomery County,0.27,"Some college, no degree",2017
Montgomery County,0.29,High school graduate (includes equivalency),2017
Montgomery County,0.06,"9th to 12th grade, no diploma",2017
Montgomery County,0.08,Graduate or professional degree,2017
Montgomery County,0.09,Associate's degree,2017
Montgomery County,0.92,Percent high school graduate or higher,2017
Moore County,0.13,Bachelor's degree,2017
Moore County,0.19,"Some college, no degree",2017
Moore County,0.20,Percent bachelor's degree or higher,2017
Moore County,4566.00,Population 25 years and over,2017
Moore County,0.05,Less than 9th grade,2017
Moore County,0.41,High school graduate (includes equivalency),2017
Moore County,0.06,Graduate or professional degree,2017
Moore County,0.07,Associate's degree,2017
Moore County,0.08,"9th to 12th grade, no diploma",2017
Moore County,0.87,Percent high school graduate or higher,2017
Morgan County,0.12,"9th to 12th grade, no diploma",2017
Morgan County,15609.00,Population 25 years and over,2017
Morgan County,0.17,"Some college, no degree",2017
Morgan County,0.03,Graduate or professional degree,2017
