district_number,district_name,school_number,school_name,subgroup,grad_cohort,dropout_count,dropout_rate
180,Cumberland County,0,All Schools,Black or African American,5,,
180,Cumberland County,0,All Schools,Black/Hispanic/Native American,44,11,25
180,Cumberland County,0,All Schools,Economically Disadvantaged,180,19,10.6
180,Cumberland County,0,All Schools,English Learners,15,8,53.3
180,Cumberland County,0,All Schools,Female,250,15,6
180,Cumberland County,0,All Schools,Hispanic,35,11,31.4
180,Cumberland County,0,All Schools,Male,254,18,7.1
180,Cumberland County,0,All Schools,Native Hawaiian or Other Pacific Islander,1,,
180,Cumberland County,0,All Schools,Non-Black/Hispanic/Native American,460,22,4.8
180,Cumberland County,0,All Schools,Non-Economically Disadvantaged,324,14,4.3
180,Cumberland County,0,All Schools,Non-English Learners,489,25,5.1
180,Cumberland County,0,All Schools,Non-Students with Disabilities,437,27,6.2
180,Cumberland County,0,All Schools,Students with Disabilities,67,6,9
180,Cumberland County,0,All Schools,White,457,22,4.8
190,Davidson County,0,All Schools,All Students,5612,643,11.5
190,Davidson County,0,All Schools,American Indian or Alaska Native,15,2,13.3
190,Davidson County,0,All Schools,Asian,259,7,2.7
190,Davidson County,0,All Schools,Black or African American,2559,276,10.8
190,Davidson County,0,All Schools,Black/Hispanic/Native American,3918,505,12.9
190,Davidson County,0,All Schools,Economically Disadvantaged,3330,488,14.7
190,Davidson County,0,All Schools,English Learners,786,187,23.8
190,Davidson County,0,All Schools,Female,2689,233,8.7
190,Davidson County,0,All Schools,Hispanic,1344,227,16.9
190,Davidson County,0,All Schools,Male,2923,410,14
190,Davidson County,0,All Schools,Migrant,13,0,0
190,Davidson County,0,All Schools,Native Hawaiian or Other Pacific Islander,4,,
190,Davidson County,0,All Schools,Non-Black/Hispanic/Native American,1694,138,8.1
190,Davidson County,0,All Schools,Non-Economically Disadvantaged,2282,155,6.8
190,Davidson County,0,All Schools,Non-English Learners,4826,456,9.4
190,Davidson County,0,All Schools,Non-Students with Disabilities,4871,518,10.6
190,Davidson County,0,All Schools,Students with Disabilities,741,125,16.9
190,Davidson County,0,All Schools,White,1431,131,9.2
200,Decatur County,0,All Schools,All Students,118,6,5.1
200,Decatur County,0,All Schools,American Indian or Alaska Native,1,,
200,Decatur County,0,All Schools,Asian,1,,
200,Decatur County,0,All Schools,Black or African American,8,,
200,Decatur County,0,All Schools,Black/Hispanic/Native American,14,3,21.4
200,Decatur County,0,All Schools,Economically Disadvantaged,52,5,9.6
200,Decatur County,0,All Schools,English Learners,0,,
200,Decatur County,0,All Schools,Female,55,4,7.3
200,Decatur County,0,All Schools,Hispanic,5,,
200,Decatur County,0,All Schools,Male,63,2,3.2
200,Decatur County,0,All Schools,Non-Black/Hispanic/Native American,104,3,2.9
200,Decatur County,0,All Schools,Non-Economically Disadvantaged,66,1,1.5
200,Decatur County,0,All Schools,Non-English Learners,118,6,5.1
200,Decatur County,0,All Schools,Non-Students with Disabilities,94,4,4.3
200,Decatur County,0,All Schools,Students with Disabilities,24,2,8.3
200,Decatur County,0,All Schools,White,103,3,2.9
210,DeKalb County,0,All Schools,All Students,197,6,3
210,DeKalb County,0,All Schools,Asian,1,,
210,DeKalb County,0,All Schools,Black or African American,2,,
210,DeKalb County,0,All Schools,Black/Hispanic/Native American,29,0,0
210,DeKalb County,0,All Schools,Economically Disadvantaged,81,5,6.2
210,DeKalb County,0,All Schools,English Learners,9,,
210,DeKalb County,0,All Schools,Female,87,0,0
210,DeKalb County,0,All Schools,Hispanic,27,0,0
210,DeKalb County,0,All Schools,Male,110,6,5.5
210,DeKalb County,0,All Schools,Migrant,1,,
210,DeKalb County,0,All Schools,Non-Black/Hispanic/Native American,168,6,3.6
210,DeKalb County,0,All Schools,Non-Economically Disadvantaged,116,1,0.9
210,DeKalb County,0,All Schools,Non-English Learners,188,6,3.2
210,DeKalb County,0,All Schools,Non-Students with Disabilities,177,4,2.3
210,DeKalb County,0,All Schools,Students with Disabilities,20,2,10
210,DeKalb County,0,All Schools,White,167,6,3.6
220,Dickson County,0,All Schools,All Students,600,16,2.7
220,Dickson County,0,All Schools,American Indian or Alaska Native,1,,
220,Dickson County,0,All Schools,Asian,4,,
220,Dickson County,0,All Schools,Black or African American,43,2,4.7
220,Dickson County,0,All Schools,Black/Hispanic/Native American,78,3,3.8
220,Dickson County,0,All Schools,Economically Disadvantaged,190,12,6.3
220,Dickson County,0,All Schools,English Learners,8,,
220,Dickson County,0,All Schools,Female,275,6,2.2
220,Dickson County,0,All Schools,Hispanic,34,1,2.9
220,Dickson County,0,All Schools,Male,325,10,3.1
220,Dickson County,0,All Schools,Non-Black/Hispanic/Native American,522,13,2.5
220,Dickson County,0,All Schools,Non-Economically Disadvantaged,410,4,1
220,Dickson County,0,All Schools,Non-English Learners,592,15,2.5
220,Dickson County,0,All Schools,Non-Students with Disabilities,539,14,2.6
220,Dickson County,0,All Schools,Students with Disabilities,61,2,3.3
220,Dickson County,0,All Schools,White,518,13,2.5
230,Dyer County,0,All Schools,All Students,275,4,1.5
230,Dyer County,0,All Schools,Asian,1,,
230,Dyer County,0,All Schools,Black or African American,29,0,0
230,Dyer County,0,All Schools,Black/Hispanic/Native American,35,0,0
230,Dyer County,0,All Schools,Economically Disadvantaged,116,2,1.7
230,Dyer County,0,All Schools,English Learners,2,,
230,Dyer County,0,All Schools,Female,146,1,0.7
230,Dyer County,0,All Schools,Hispanic,6,,
230,Dyer County,0,All Schools,Male,129,3,2.3
230,Dyer County,0,All Schools,Non-Black/Hispanic/Native American,240,4,1.7
230,Dyer County,0,All Schools,Non-Economically Disadvantaged,159,2,1.3
230,Dyer County,0,All Schools,Non-English Learners,273,4,1.5
230,Dyer County,0,All Schools,Non-Students with Disabilities,245,3,1.2
230,Dyer County,0,All Schools,Students with Disabilities,30,1,3.3
230,Dyer County,0,All Schools,White,239,4,1.7
231,Dyersburg,0,All Schools,All Students,190,11,5.8
231,Dyersburg,0,All Schools,Asian,3,,
231,Dyersburg,0,All Schools,Black or African American,70,4,5.7
231,Dyersburg,0,All Schools,Black/Hispanic/Native American,83,5,6
231,Dyersburg,0,All Schools,Economically Disadvantaged,91,8,8.8
231,Dyersburg,0,All Schools,English Learners,6,,
231,Dyersburg,0,All Schools,Female,98,4,4.1
231,Dyersburg,0,All Schools,Hispanic,13,1,7.7
231,Dyersburg,0,All Schools,Male,92,7,7.6
231,Dyersburg,0,All Schools,Non-Black/Hispanic/Native American,107,6,5.6
231,Dyersburg,0,All Schools,Non-Economically Disadvantaged,99,3,3
231,Dyersburg,0,All Schools,Non-English Learners,184,10,5.4
231,Dyersburg,0,All Schools,Non-Students with Disabilities,152,7,4.6
231,Dyersburg,0,All Schools,Students with Disabilities,38,4,10.5
231,Dyersburg,0,All Schools,White,104,6,5.8
240,Fayette County Public Schools,0,All Schools,All Students,212,10,4.7
240,Fayette County Public Schools,0,All Schools,American Indian or Alaska Native,1,,
240,Fayette County Public Schools,0,All Schools,Black or African American,147,6,4.1
240,Fayette County Public Schools,0,All Schools,Black/Hispanic/Native American,160,6,3.8
240,Fayette County Public Schools,0,All Schools,Economically Disadvantaged,125,7,5.6
240,Fayette County Public Schools,0,All Schools,English Learners,2,,
240,Fayette County Public Schools,0,All Schools,Female,101,4,4
240,Fayette County Public Schools,0,All Schools,Hispanic,12,0,0
240,Fayette County Public Schools,0,All Schools,Male,111,6,5.4
240,Fayette County Public Schools,0,All Schools,Native Hawaiian or Other Pacific Islander,0,,
240,Fayette County Public Schools,0,All Schools,Non-Black/Hispanic/Native American,52,4,7.7
240,Fayette County Public Schools,0,All Schools,Non-Economically Disadvantaged,87,3,3.4
240,Fayette County Public Schools,0,All Schools,Non-English Learners,210,10,4.8
240,Fayette County Public Schools,0,All Schools,Non-Students with Disabilities,178,8,4.5
240,Fayette County Public Schools,0,All Schools,Students with Disabilities,34,2,5.9
240,Fayette County Public Schools,0,All Schools,White,52,4,7.7
250,Fentress County,0,All Schools,All Students,74,1,1.4
250,Fentress County,0,All Schools,Black/Hispanic/Native American,1,,
250,Fentress County,0,All Schools,Economically Disadvantaged,44,0,0
250,Fentress County,0,All Schools,Female,41,0,0
250,Fentress County,0,All Schools,Hispanic,1,,
250,Fentress County,0,All Schools,Male,33,1,3
250,Fentress County,0,All Schools,Non-Black/Hispanic/Native American,73,1,1.4
250,Fentress County,0,All Schools,Non-Economically Disadvantaged,30,1,3.3
250,Fentress County,0,All Schools,Non-English Learners,74,1,1.4
250,Fentress County,0,All Schools,Non-Students with Disabilities,64,0,0
250,Fentress County,0,All Schools,Students with Disabilities,10,1,10
250,Fentress County,0,All Schools,White,73,1,1.4
260,Franklin County,0,All Schools,All Students,374,24,6.4
260,Franklin County,0,All Schools,American Indian or Alaska Native,3,,
260,Franklin County,0,All Schools,Asian,3,,
260,Franklin County,0,All Schools,Black or African American,31,1,3.2
260,Franklin County,0,All Schools,Black/Hispanic/Native American,61,6,9.8
260,Franklin County,0,All Schools,Economically Disadvantaged,124,17,13.7
260,Franklin County,0,All Schools,English Learners,5,,
260,Franklin County,0,All Schools,Female,177,15,8.5
260,Franklin County,0,All Schools,Hispanic,27,5,18.5
260,Franklin County,0,All Schools,Male,197,9,4.6
260,Franklin County,0,All Schools,Native Hawaiian or Other Pacific Islander,1,,
260,Franklin County,0,All Schools,Non-Black/Hispanic/Native American,313,18,5.8
260,Franklin County,0,All Schools,Non-Economically Disadvantaged,250,7,2.8
260,Franklin County,0,All Schools,Non-English Learners,369,22,6
260,Franklin County,0,All Schools,Non-Students with Disabilities,321,17,5.3
260,Franklin County,0,All Schools,Students with Disabilities,53,7,13.2
260,Franklin County,0,All Schools,White,309,18,5.8
271,Humboldt City Schools,0,All Schools,All Students,53,5,9.4
271,Humboldt City Schools,0,All Schools,Black or African American,43,1,2.3
271,Humboldt City Schools,0,All Schools,Black/Hispanic/Native American,45,2,4.4
271,Humboldt City Schools,0,All Schools,Economically Disadvantaged,33,5,15.2
271,Humboldt City Schools,0,All Schools,English Learners,1,,
271,Humboldt City Schools,0,All Schools,Female,29,4,13.8
271,Humboldt City Schools,0,All Schools,Hispanic,2,,
271,Humboldt City Schools,0,All Schools,Male,24,1,4.2
271,Humboldt City Schools,0,All Schools,Non-Black/Hispanic/Native American,8,,
271,Humboldt City Schools,0,All Schools,Non-Economically Disadvantaged,20,0,0
271,Humboldt City Schools,0,All Schools,Non-English Learners,52,4,7.7
271,Humboldt City Schools,0,All Schools,Non-Students with Disabilities,37,2,5.4
271,Humboldt City Schools,0,All Schools,Students with Disabilities,16,3,18.8
271,Humboldt City Schools,0,All Schools,White,8,,
272,Milan,0,All Schools,All Students,146,1,0.7
272,Milan,0,All Schools,Black or African American,44,1,2.3
272,Milan,0,All Schools,Black/Hispanic/Native American,48,1,2.1
272,Milan,0,All Schools,Economically Disadvantaged,65,1,1.5
272,Milan,0,All Schools,Female,78,1,1.3
272,Milan,0,All Schools,Hispanic,4,,
272,Milan,0,All Schools,Male,68,0,0
272,Milan,0,All Schools,Native Hawaiian or Other Pacific Islander,0,,
272,Milan,0,All Schools,Non-Black/Hispanic/Native American,98,0,0
272,Milan,0,All Schools,Non-Economically Disadvantaged,81,0,0
272,Milan,0,All Schools,Non-English Learners,146,1,0.7
272,Milan,0,All Schools,Non-Students with Disabilities,121,1,0.8
272,Milan,0,All Schools,Students with Disabilities,25,0,0
272,Milan,0,All Schools,White,98,0,0
273,Trenton,0,All Schools,All Students,110,3,2.7
273,Trenton,0,All Schools,Black or African American,35,1,2.9
273,Trenton,0,All Schools,Black/Hispanic/Native American,42,1,2.4
273,Trenton,0,All Schools,Economically Disadvantaged,59,3,5.1
273,Trenton,0,All Schools,English Learners,1,,
273,Trenton,0,All Schools,Female,44,1,2.3
273,Trenton,0,All Schools,Hispanic,7,,
273,Trenton,0,All Schools,Male,66,2,3
273,Trenton,0,All Schools,Non-Black/Hispanic/Native American,68,2,2.9
273,Trenton,0,All Schools,Non-Economically Disadvantaged,51,0,0
273,Trenton,0,All Schools,Non-English Learners,109,3,2.8
273,Trenton,0,All Schools,Non-Students with Disabilities,92,3,3.3
273,Trenton,0,All Schools,Students with Disabilities,18,0,0
273,Trenton,0,All Schools,White,68,2,2.9
274,Bradford,0,All Schools,All Students,38,0,0
274,Bradford,0,All Schools,Black or African American,2,,
274,Bradford,0,All Schools,Black/Hispanic/Native American,3,,
274,Bradford,0,All Schools,Economically Disadvantaged,11,0,0
274,Bradford,0,All Schools,Female,21,0,0
274,Bradford,0,All Schools,Hispanic,1,,
274,Bradford,0,All Schools,Male,17,0,0
274,Bradford,0,All Schools,Non-Black/Hispanic/Native American,35,0,0
274,Bradford,0,All Schools,Non-Economically Disadvantaged,27,0,0
274,Bradford,0,All Schools,Non-English Learners,38,0,0
274,Bradford,0,All Schools,Non-Students with Disabilities,35,0,0
274,Bradford,0,All Schools,Students with Disabilities,3,,
274,Bradford,0,All Schools,White,35,0,0
275,Gibson Co Sp Dist,0,All Schools,All Students,290,11,3.8
275,Gibson Co Sp Dist,0,All Schools,Asian,4,,
275,Gibson Co Sp Dist,0,All Schools,Black or African American,26,1,3.8
275,Gibson Co Sp Dist,0,All Schools,Black/Hispanic/Native American,33,2,6.1
275,Gibson Co Sp Dist,0,All Schools,Economically Disadvantaged,69,5,7.2
275,Gibson Co Sp Dist,0,All Schools,English Learners,1,,
275,Gibson Co Sp Dist,0,All Schools,Female,133,3,2.3
275,Gibson Co Sp Dist,0,All Schools,Hispanic,7,,
275,Gibson Co Sp Dist,0,All Schools,Male,157,8,5.1
275,Gibson Co Sp Dist,0,All Schools,Non-Black/Hispanic/Native American,257,9,3.5
275,Gibson Co Sp Dist,0,All Schools,Non-Economically Disadvantaged,221,6,2.7
275,Gibson Co Sp Dist,0,All Schools,Non-English Learners,289,11,3.8
275,Gibson Co Sp Dist,0,All Schools,Non-Students with Disabilities,252,7,2.8
275,Gibson Co Sp Dist,0,All Schools,Students with Disabilities,38,4,10.5
275,Gibson Co Sp Dist,0,All Schools,White,253,9,3.6
280,Giles County,0,All Schools,All Students,279,17,6.1
280,Giles County,0,All Schools,American Indian or Alaska Native,2,,
280,Giles County,0,All Schools,Asian,1,,
280,Giles County,0,All Schools,Black or African American,42,1,2.4
280,Giles County,0,All Schools,Black/Hispanic/Native American,53,2,3.8
280,Giles County,0,All Schools,Economically Disadvantaged,127,12,9.4
280,Giles County,0,All Schools,English Learners,3,,
280,Giles County,0,All Schools,Female,141,3,2.1
280,Giles County,0,All Schools,Hispanic,9,,
280,Giles County,0,All Schools,Male,138,14,10.1
280,Giles County,0,All Schools,Non-Black/Hispanic/Native American,226,15,6.6
280,Giles County,0,All Schools,Non-Economically Disadvantaged,152,5,3.3
280,Giles County,0,All Schools,Non-English Learners,276,17,6.2
280,Giles County,0,All Schools,Non-Students with Disabilities,248,14,5.6
280,Giles County,0,All Schools,Students with Disabilities,31,3,9.7
280,Giles County,0,All Schools,White,225,15,6.7
290,Grainger County,0,All Schools,All Students,274,5,1.8
290,Grainger County,0,All Schools,Black or African American,4,,
290,Grainger County,0,All Schools,Black/Hispanic/Native American,14,0,0
290,Grainger County,0,All Schools,Economically Disadvantaged,102,4,3.9
290,Grainger County,0,All Schools,English Learners,6,,
290,Grainger County,0,All Schools,Female,142,1,0.7
290,Grainger County,0,All Schools,Hispanic,10,0,0
290,Grainger County,0,All Schools,Male,132,4,3
290,Grainger County,0,All Schools,Migrant,0,,
290,Grainger County,0,All Schools,Non-Black/Hispanic/Native American,260,5,1.9
290,Grainger County,0,All Schools,Non-Economically Disadvantaged,172,1,0.6
290,Grainger County,0,All Schools,Non-English Learners,268,5,1.9
290,Grainger County,0,All Schools,Non-Students with Disabilities,245,3,1.2
290,Grainger County,0,All Schools,Students with Disabilities,29,2,6.9
290,Grainger County,0,All Schools,White,260,5,1.9
300,Greene County,0,All Schools,All Students,523,10,1.9
300,Greene County,0,All Schools,American Indian or Alaska Native,4,,
300,Greene County,0,All Schools,Asian,3,,
300,Greene County,0,All Schools,Black or African American,6,,
300,Greene County,0,All Schools,Black/Hispanic/Native American,30,5,16.7
300,Greene County,0,All Schools,Economically Disadvantaged,217,7,3.2
300,Greene County,0,All Schools,English Learners,6,,
300,Greene County,0,All Schools,Female,270,2,0.7
300,Greene County,0,All Schools,Hispanic,20,4,20
300,Greene County,0,All Schools,Male,253,8,3.2
300,Greene County,0,All Schools,Migrant,1,,
300,Greene County,0,All Schools,Non-Black/Hispanic/Native American,493,5,1
300,Greene County,0,All Schools,Non-Economically Disadvantaged,306,3,1
300,Greene County,0,All Schools,Non-English Learners,517,8,1.5
300,Greene County,0,All Schools,Non-Students with Disabilities,432,7,1.6
300,Greene County,0,All Schools,Students with Disabilities,91,3,3.3
300,Greene County,0,All Schools,White,490,5,1
301,Greeneville,0,All Schools,All Students,230,2,0.9
301,Greeneville,0,All Schools,American Indian or Alaska Native,4,,
301,Greeneville,0,All Schools,Asian,7,,
301,Greeneville,0,All Schools,Black or African American,25,0,0
301,Greeneville,0,All Schools,Black/Hispanic/Native American,31,0,0
301,Greeneville,0,All Schools,Economically Disadvantaged,66,1,1.5
301,Greeneville,0,All Schools,English Learners,5,,
301,Greeneville,0,All Schools,Female,118,1,0.8
301,Greeneville,0,All Schools,Hispanic,2,,
301,Greeneville,0,All Schools,Male,112,1,0.9
301,Greeneville,0,All Schools,Native Hawaiian or Other Pacific Islander,1,,
301,Greeneville,0,All Schools,Non-Black/Hispanic/Native American,199,2,1
301,Greeneville,0,All Schools,Non-Economically Disadvantaged,164,1,0.6
301,Greeneville,0,All Schools,Non-English Learners,225,2,0.9
301,Greeneville,0,All Schools,Non-Students with Disabilities,193,2,1
301,Greeneville,0,All Schools,Students with Disabilities,37,0,0
301,Greeneville,0,All Schools,White,191,2,1
310,Grundy County,0,All Schools,All Students,171,7,4.1
310,Grundy County,0,All Schools,Black/Hispanic/Native American,2,,
310,Grundy County,0,All Schools,Economically Disadvantaged,71,4,5.6
310,Grundy County,0,All Schools,Female,76,1,1.3
310,Grundy County,0,All Schools,Hispanic,2,,
310,Grundy County,0,All Schools,Male,95,6,6.3
310,Grundy County,0,All Schools,Migrant,1,,
310,Grundy County,0,All Schools,Non-Black/Hispanic/Native American,169,7,4.1
310,Grundy County,0,All Schools,Non-Economically Disadvantaged,100,3,3
310,Grundy County,0,All Schools,Non-English Learners,171,7,4.1
310,Grundy County,0,All Schools,Non-Students with Disabilities,133,6,4.5
310,Grundy County,0,All Schools,Students with Disabilities,38,1,2.6
310,Grundy County,0,All Schools,White,169,7,4.1
320,Hamblen County,0,All Schools,All Students,783,29,3.7
320,Hamblen County,0,All Schools,American Indian or Alaska Native,5,,
320,Hamblen County,0,All Schools,Asian,11,0,0
320,Hamblen County,0,All Schools,Black or African American,57,7,12.3
320,Hamblen County,0,All Schools,Black/Hispanic/Native American,220,16,7.3
320,Hamblen County,0,All Schools,Economically Disadvantaged,302,24,7.9
320,Hamblen County,0,All Schools,English Learners,43,6,14
320,Hamblen County,0,All Schools,Female,370,7,1.9
320,Hamblen County,0,All Schools,Hispanic,158,9,5.7
320,Hamblen County,0,All Schools,Male,413,22,5.3
320,Hamblen County,0,All Schools,Migrant,11,0,0
320,Hamblen County,0,All Schools,Native Hawaiian or Other Pacific Islander,4,,
320,Hamblen County,0,All Schools,Non-Black/Hispanic/Native American,563,13,2.3
320,Hamblen County,0,All Schools,Non-Economically Disadvantaged,481,5,1
320,Hamblen County,0,All Schools,Non-English Learners,740,23,3.1
320,Hamblen County,0,All Schools,Non-Students with Disabilities,676,22,3.3
320,Hamblen County,0,All Schools,Students with Disabilities,107,7,6.5
320,Hamblen County,0,All Schools,White,548,12,2.2
330,Hamilton County,0,All Schools,All Students,3167,271,8.6
330,Hamilton County,0,All Schools,American Indian or Alaska Native,13,1,7.7
330,Hamilton County,0,All Schools,Asian,105,5,4.8
330,Hamilton County,0,All Schools,Black or African American,973,86,8.8
330,Hamilton County,0,All Schools,Black/Hispanic/Native American,1383,156,11.3
330,Hamilton County,0,All Schools,Economically Disadvantaged,1265,149,11.8
330,Hamilton County,0,All Schools,English Learners,189,64,33.9
330,Hamilton County,0,All Schools,Female,1488,87,5.8
330,Hamilton County,0,All Schools,Hispanic,397,69,17.4
330,Hamilton County,0,All Schools,Male,1679,184,11
330,Hamilton County,0,All Schools,Migrant,2,,
330,Hamilton County,0,All Schools,Native Hawaiian or Other Pacific Islander,2,,
330,Hamilton County,0,All Schools,Non-Black/Hispanic/Native American,1784,115,6.4
330,Hamilton County,0,All Schools,Non-Economically Disadvantaged,1902,122,6.4
330,Hamilton County,0,All Schools,Non-English Learners,2978,207,7
330,Hamilton County,0,All Schools,Non-Students with Disabilities,2773,217,7.8
330,Hamilton County,0,All Schools,Students with Disabilities,394,54,13.7
330,Hamilton County,0,All Schools,White,1677,110,6.6
340,Hancock County,0,All Schools,All Students,76,0,0
340,Hancock County,0,All Schools,Economically Disadvantaged,44,0,0
340,Hancock County,0,All Schools,Female,31,0,0
340,Hancock County,0,All Schools,Male,45,0,0
340,Hancock County,0,All Schools,Non-Black/Hispanic/Native American,76,0,0
340,Hancock County,0,All Schools,Non-Economically Disadvantaged,32,0,0
340,Hancock County,0,All Schools,Non-English Learners,76,0,0
340,Hancock County,0,All Schools,Non-Students with Disabilities,59,0,0
340,Hancock County,0,All Schools,Students with Disabilities,17,0,0
340,Hancock County,0,All Schools,White,76,0,0
350,Hardeman County Schools,0,All Schools,All Students,287,38,13.2
350,Hardeman County Schools,0,All Schools,Asian,4,,
350,Hardeman County Schools,0,All Schools,Black or African American,153,20,13.1
350,Hardeman County Schools,0,All Schools,Black/Hispanic/Native American,159,22,13.8
350,Hardeman County Schools,0,All Schools,Economically Disadvantaged,163,34,20.9
350,Hardeman County Schools,0,All Schools,English Learners,4,,
350,Hardeman County Schools,0,All Schools,Female,135,11,8.1
350,Hardeman County Schools,0,All Schools,Hispanic,6,,
350,Hardeman County Schools,0,All Schools,Male,152,27,17.8
350,Hardeman County Schools,0,All Schools,Non-Black/Hispanic/Native American,128,16,12.5
350,Hardeman County Schools,0,All Schools,Non-Economically Disadvantaged,124,4,3.2
350,Hardeman County Schools,0,All Schools,Non-English Learners,283,37,13.1
350,Hardeman County Schools,0,All Schools,Non-Students with Disabilities,251,28,11.2
350,Hardeman County Schools,0,All Schools,Students with Disabilities,36,10,27.8
350,Hardeman County Schools,0,All Schools,White,124,16,12.9
360,Hardin County,0,All Schools,All Students,267,11,4.1
360,Hardin County,0,All Schools,American Indian or Alaska Native,1,,
360,Hardin County,0,All Schools,Asian,2,,
360,Hardin County,0,All Schools,Black or African American,19,1,5.3
360,Hardin County,0,All Schools,Black/Hispanic/Native American,26,1,3.8
360,Hardin County,0,All Schools,Economically Disadvantaged,121,7,5.8
360,Hardin County,0,All Schools,English Learners,2,,
360,Hardin County,0,All Schools,Female,126,6,4.8
360,Hardin County,0,All Schools,Hispanic,6,,
360,Hardin County,0,All Schools,Male,141,5,3.5
360,Hardin County,0,All Schools,Non-Black/Hispanic/Native American,241,10,4.1
360,Hardin County,0,All Schools,Non-Economically Disadvantaged,146,4,2.7
360,Hardin County,0,All Schools,Non-English Learners,265,11,4.2
360,Hardin County,0,All Schools,Non-Students with Disabilities,224,9,4
360,Hardin County,0,All Schools,Students with Disabilities,43,2,4.7
360,Hardin County,0,All Schools,White,239,10,4.2
370,Hawkins County,0,All Schools,All Students,508,11,2.2
370,Hawkins County,0,All Schools,American Indian or Alaska Native,1,,
370,Hawkins County,0,All Schools,Asian,4,,
370,Hawkins County,0,All Schools,Black or African American,13,1,7.7
370,Hawkins County,0,All Schools,Black/Hispanic/Native American,28,2,7.1
370,Hawkins County,0,All Schools,Economically Disadvantaged,235,10,4.3
370,Hawkins County,0,All Schools,English Learners,2,,
370,Hawkins County,0,All Schools,Female,255,2,0.8
370,Hawkins County,0,All Schools,Hispanic,14,1,7.1
370,Hawkins County,0,All Schools,Male,253,9,3.6
370,Hawkins County,0,All Schools,Native Hawaiian or Other Pacific Islander,1,,
370,Hawkins County,0,All Schools,Non-Black/Hispanic/Native American,480,9,1.9
370,Hawkins County,0,All Schools,Non-Economically Disadvantaged,273,1,0.4
370,Hawkins County,0,All Schools,Non-English Learners,506,11,2.2
370,Hawkins County,0,All Schools,Non-Students with Disabilities,436,5,1.1
370,Hawkins County,0,All Schools,Students with Disabilities,72,6,8.3
370,Hawkins County,0,All Schools,White,475,9,1.9
380,Haywood County,0,All Schools,All Students,264,13,4.9
380,Haywood County,0,All Schools,Asian,1,,
380,Haywood County,0,All Schools,Black or African American,186,9,4.8
380,Haywood County,0,All Schools,Black/Hispanic/Native American,200,9,4.5
380,Haywood County,0,All Schools,Economically Disadvantaged,157,10,6.4
380,Haywood County,0,All Schools,English Learners,4,,
380,Haywood County,0,All Schools,Female,116,3,2.6
380,Haywood County,0,All Schools,Hispanic,14,0,0
380,Haywood County,0,All Schools,Male,148,10,6.8
380,Haywood County,0,All Schools,Non-Black/Hispanic/Native American,64,4,6.2
380,Haywood County,0,All Schools,Non-Economically Disadvantaged,107,3,2.8
380,Haywood County,0,All Schools,Non-English Learners,260,13,5
380,Haywood County,0,All Schools,Non-Students with Disabilities,232,10,4.3
380,Haywood County,0,All Schools,Students with Disabilities,32,3,9.4
380,Haywood County,0,All Schools,White,63,4,6.3
390,Henderson County,0,All Schools,All Students,327,12,3.7
390,Henderson County,0,All Schools,American Indian or Alaska Native,2,,
390,Henderson County,0,All Schools,Asian,3,,
390,Henderson County,0,All Schools,Black or African American,33,2,6.1
390,Henderson County,0,All Schools,Black/Hispanic/Native American,50,4,8
390,Henderson County,0,All Schools,Economically Disadvantaged,147,11,7.5
390,Henderson County,0,All Schools,English Learners,2,,
390,Henderson County,0,All Schools,Female,160,6,3.8
390,Henderson County,0,All Schools,Hispanic,15,2,13.3
390,Henderson County,0,All Schools,Male,167,6,3.6
390,Henderson County,0,All Schools,Native Hawaiian or Other Pacific Islander,0,,
390,Henderson County,0,All Schools,Non-Black/Hispanic/Native American,277,8,2.9
390,Henderson County,0,All Schools,Non-Economically Disadvantaged,180,1,0.6
390,Henderson County,0,All Schools,Non-English Learners,325,11,3.4
390,Henderson County,0,All Schools,Non-Students with Disabilities,271,9,3.3
390,Henderson County,0,All Schools,Students with Disabilities,56,3,5.4
390,Henderson County,0,All Schools,White,274,8,2.9
400,Henry County,0,All Schools,All Students,304,7,2.3
400,Henry County,0,All Schools,Asian,5,,
400,Henry County,0,All Schools,Black or African American,31,0,0
400,Henry County,0,All Schools,Black/Hispanic/Native American,41,0,0
400,Henry County,0,All Schools,Economically Disadvantaged,110,5,4.5
400,Henry County,0,All Schools,English Learners,1,,
400,Henry County,0,All Schools,Female,135,1,0.7
400,Henry County,0,All Schools,Hispanic,10,0,0
400,Henry County,0,All Schools,Male,169,6,3.6
400,Henry County,0,All Schools,Migrant,0,,
400,Henry County,0,All Schools,Non-Black/Hispanic/Native American,263,7,2.7
400,Henry County,0,All Schools,Non-Economically Disadvantaged,194,2,1
400,Henry County,0,All Schools,Non-English Learners,303,7,2.3
400,Henry County,0,All Schools,Non-Students with Disabilities,268,7,2.6
400,Henry County,0,All Schools,Students with Disabilities,36,0,0
400,Henry County,0,All Schools,White,258,7,2.7
410,Hickman County,0,All Schools,All Students,250,6,2.4
410,Hickman County,0,All Schools,American Indian or Alaska Native,2,,
410,Hickman County,0,All Schools,Asian,2,,
410,Hickman County,0,All Schools,Black or African American,13,0,0
410,Hickman County,0,All Schools,Black/Hispanic/Native American,22,0,0
410,Hickman County,0,All Schools,Economically Disadvantaged,115,4,3.5
410,Hickman County,0,All Schools,English Learners,1,,
410,Hickman County,0,All Schools,Female,117,3,2.6
410,Hickman County,0,All Schools,Hispanic,7,,
