year,district_number,district_name,subgroup,graduation cohort,graduation count,graduation rate
2019,162,Tullahoma,Black or African American,29,26,89.7
2019,162,Tullahoma,Black/Hispanic/Native American,45,41,91.1
2019,162,Tullahoma,Economically Disadvantaged,79,61,77.2
2019,162,Tullahoma,English Learners with Transitional 1-4,6,*,*
2019,162,Tullahoma,Female,113,106,93.8
2019,162,Tullahoma,Hispanic,14,13,92.9
2019,162,Tullahoma,Homeless,7,*,*
2019,162,Tullahoma,Male,138,122,88.4
2019,162,Tullahoma,Native Hawaiian or Other Pacific Islander,2,*,*
2019,162,Tullahoma,Non-Black/Hispanic/Native American,206,187,90.8
2019,162,Tullahoma,Non-Economically Disadvantaged,172,167,97.1
2019,162,Tullahoma,Non-English Learners/Transitional 1-4,245,222,90.6
2019,162,Tullahoma,Non-Homeless,244,222,91
2019,162,Tullahoma,Non-Migrant,251,228,90.8
2019,162,Tullahoma,Non-Students with Disabilities,230,215,93.5
2019,162,Tullahoma,Students with Disabilities,21,13,61.9
2019,162,Tullahoma,White,198,179,90.4
2019,170,Crockett County,All Students,220,212,96.4
2019,170,Crockett County,Asian,1,*,*
2019,170,Crockett County,Black or African American,36,**,**
2019,170,Crockett County,Black/Hispanic/Native American,74,72,97.3
2019,170,Crockett County,Economically Disadvantaged,109,102,93.6
2019,170,Crockett County,English Learners with Transitional 1-4,8,*,*
2019,170,Crockett County,Female,103,100,97.1
2019,170,Crockett County,Hispanic,38,36,94.7
2019,170,Crockett County,Homeless,5,*,*
2019,170,Crockett County,Male,117,112,95.7
2019,170,Crockett County,Migrant,1,*,*
2019,170,Crockett County,Non-Black/Hispanic/Native American,146,140,95.9
2019,170,Crockett County,Non-Economically Disadvantaged,111,**,**
2019,170,Crockett County,Non-English Learners/Transitional 1-4,212,204,96.2
2019,170,Crockett County,Non-Homeless,215,207,96.3
2019,170,Crockett County,Non-Migrant,219,211,96.3
2019,170,Crockett County,Non-Students with Disabilities,193,190,98.4
2019,170,Crockett County,Students with Disabilities,27,22,81.5
2019,170,Crockett County,White,145,139,95.9
2019,180,Cumberland County,All Students,504,461,91.5
2019,180,Cumberland County,American Indian or Alaska Native,4,*,*
2019,180,Cumberland County,Asian,2,*,*
2019,180,Cumberland County,Black or African American,5,*,*
2019,180,Cumberland County,Black/Hispanic/Native American,44,32,72.7
2019,180,Cumberland County,Economically Disadvantaged,180,156,86.7
2019,180,Cumberland County,English Learners with Transitional 1-4,15,7,46.7
2019,180,Cumberland County,Female,250,232,92.8
2019,180,Cumberland County,Hispanic,35,24,68.6
2019,180,Cumberland County,Homeless,38,28,73.7
2019,180,Cumberland County,Male,254,229,90.2
2019,180,Cumberland County,Native Hawaiian or Other Pacific Islander,1,*,*
2019,180,Cumberland County,Non-Black/Hispanic/Native American,460,429,93.3
2019,180,Cumberland County,Non-Economically Disadvantaged,324,305,94.1
2019,180,Cumberland County,Non-English Learners/Transitional 1-4,489,454,92.8
2019,180,Cumberland County,Non-Homeless,466,433,92.9
2019,180,Cumberland County,Non-Migrant,504,461,91.5
2019,180,Cumberland County,Non-Students with Disabilities,437,408,93.4
2019,180,Cumberland County,Students with Disabilities,67,53,79.1
2019,180,Cumberland County,White,457,426,93.2
2019,190,Davidson County,All Students,5612,4626,82.4
2019,190,Davidson County,American Indian or Alaska Native,15,10,66.7
2019,190,Davidson County,Asian,259,243,93.8
2019,190,Davidson County,Black or African American,2559,2119,82.8
2019,190,Davidson County,Black/Hispanic/Native American,3918,3155,80.5
2019,190,Davidson County,Economically Disadvantaged,3330,2596,78
2019,190,Davidson County,English Learners with Transitional 1-4,786,519,66
2019,190,Davidson County,Female,2689,2355,87.6
2019,190,Davidson County,Hispanic,1344,1026,76.3
2019,190,Davidson County,Homeless,405,268,66.2
2019,190,Davidson County,Male,2923,2271,77.7
2019,190,Davidson County,Migrant,13,12,92.3
2019,190,Davidson County,Native Hawaiian or Other Pacific Islander,4,*,*
2019,190,Davidson County,Non-Black/Hispanic/Native American,1694,1471,86.8
2019,190,Davidson County,Non-Economically Disadvantaged,2282,2030,89
2019,190,Davidson County,Non-English Learners/Transitional 1-4,4826,4107,85.1
2019,190,Davidson County,Non-Homeless,5207,4358,83.7
2019,190,Davidson County,Non-Migrant,5599,4614,82.4
2019,190,Davidson County,Non-Students with Disabilities,4871,4172,85.6
2019,190,Davidson County,Students with Disabilities,741,454,61.3
2019,190,Davidson County,White,1431,1224,85.5
2019,200,Decatur County,All Students,118,110,93.2
2019,200,Decatur County,American Indian or Alaska Native,1,*,*
2019,200,Decatur County,Asian,1,*,*
2019,200,Decatur County,Black or African American,8,*,*
2019,200,Decatur County,Black/Hispanic/Native American,14,10,71.4
2019,200,Decatur County,Economically Disadvantaged,52,46,88.5
2019,200,Decatur County,English Learners with Transitional 1-4,0,*,*
2019,200,Decatur County,Female,55,51,92.7
2019,200,Decatur County,Hispanic,5,*,*
2019,200,Decatur County,Homeless,7,*,*
2019,200,Decatur County,Male,63,59,93.7
2019,200,Decatur County,Non-Black/Hispanic/Native American,104,100,96.2
2019,200,Decatur County,Non-Economically Disadvantaged,66,64,97
2019,200,Decatur County,Non-English Learners/Transitional 1-4,118,110,93.2
2019,200,Decatur County,Non-Homeless,111,105,94.6
2019,200,Decatur County,Non-Migrant,118,110,93.2
2019,200,Decatur County,Non-Students with Disabilities,94,90,95.7
2019,200,Decatur County,Students with Disabilities,24,20,83.3
2019,200,Decatur County,White,103,99,96.1
2019,210,DeKalb County,All Students,197,186,94.4
2019,210,DeKalb County,Asian,1,*,*
2019,210,DeKalb County,Black or African American,2,*,*
2019,210,DeKalb County,Black/Hispanic/Native American,29,**,**
2019,210,DeKalb County,Economically Disadvantaged,81,73,90.1
2019,210,DeKalb County,English Learners with Transitional 1-4,9,*,*
2019,210,DeKalb County,Female,87,85,97.7
2019,210,DeKalb County,Hispanic,27,**,**
2019,210,DeKalb County,Homeless,1,*,*
2019,210,DeKalb County,Male,110,101,91.8
2019,210,DeKalb County,Migrant,1,*,*
2019,210,DeKalb County,Non-Black/Hispanic/Native American,168,157,93.5
2019,210,DeKalb County,Non-Economically Disadvantaged,116,113,97.4
2019,210,DeKalb County,Non-English Learners/Transitional 1-4,188,177,94.1
2019,210,DeKalb County,Non-Homeless,196,185,94.4
2019,210,DeKalb County,Non-Migrant,196,185,94.4
2019,210,DeKalb County,Non-Students with Disabilities,177,172,97.2
2019,210,DeKalb County,Students with Disabilities,20,14,70
2019,210,DeKalb County,White,167,156,93.4
2019,220,Dickson County,All Students,600,566,94.3
2019,220,Dickson County,American Indian or Alaska Native,1,*,*
2019,220,Dickson County,Asian,4,*,*
2019,220,Dickson County,Black or African American,43,41,95.3
2019,220,Dickson County,Black/Hispanic/Native American,78,75,96.2
2019,220,Dickson County,Economically Disadvantaged,190,165,86.8
2019,220,Dickson County,English Learners with Transitional 1-4,8,*,*
2019,220,Dickson County,Female,275,262,95.3
2019,220,Dickson County,Hispanic,34,33,97.1
2019,220,Dickson County,Homeless,10,8,80
2019,220,Dickson County,Male,325,304,93.5
2019,220,Dickson County,Non-Black/Hispanic/Native American,522,491,94.1
2019,220,Dickson County,Non-Economically Disadvantaged,410,401,97.8
2019,220,Dickson County,Non-English Learners/Transitional 1-4,592,559,94.4
2019,220,Dickson County,Non-Homeless,590,558,94.6
2019,220,Dickson County,Non-Migrant,600,566,94.3
2019,220,Dickson County,Non-Students with Disabilities,539,518,96.1
2019,220,Dickson County,Students with Disabilities,61,48,78.7
2019,220,Dickson County,White,518,487,94
2019,230,Dyer County,All Students,275,266,96.7
2019,230,Dyer County,Asian,1,*,*
2019,230,Dyer County,Black or African American,29,27,93.1
2019,230,Dyer County,Black/Hispanic/Native American,35,33,94.3
2019,230,Dyer County,Economically Disadvantaged,116,111,95.7
2019,230,Dyer County,English Learners with Transitional 1-4,2,*,*
2019,230,Dyer County,Female,146,143,97.9
2019,230,Dyer County,Hispanic,6,*,*
2019,230,Dyer County,Homeless,15,13,86.7
2019,230,Dyer County,Male,129,123,95.3
2019,230,Dyer County,Non-Black/Hispanic/Native American,240,233,97.1
2019,230,Dyer County,Non-Economically Disadvantaged,159,155,97.5
2019,230,Dyer County,Non-English Learners/Transitional 1-4,273,264,96.7
2019,230,Dyer County,Non-Homeless,260,253,97.3
2019,230,Dyer County,Non-Migrant,275,266,96.7
2019,230,Dyer County,Non-Students with Disabilities,245,242,98.8
2019,230,Dyer County,Students with Disabilities,30,24,80
2019,230,Dyer County,White,239,232,97.1
2019,231,Dyersburg,All Students,190,171,90
2019,231,Dyersburg,Asian,3,*,*
2019,231,Dyersburg,Black or African American,70,62,88.6
2019,231,Dyersburg,Black/Hispanic/Native American,83,74,89.2
2019,231,Dyersburg,Economically Disadvantaged,91,77,84.6
2019,231,Dyersburg,English Learners with Transitional 1-4,6,*,*
2019,231,Dyersburg,Female,98,91,92.9
2019,231,Dyersburg,Hispanic,13,12,92.3
2019,231,Dyersburg,Homeless,2,*,*
2019,231,Dyersburg,Male,92,80,87
2019,231,Dyersburg,Non-Black/Hispanic/Native American,107,97,90.7
2019,231,Dyersburg,Non-Economically Disadvantaged,99,94,94.9
2019,231,Dyersburg,Non-English Learners/Transitional 1-4,184,166,90.2
2019,231,Dyersburg,Non-Homeless,188,170,90.4
2019,231,Dyersburg,Non-Migrant,190,171,90
2019,231,Dyersburg,Non-Students with Disabilities,152,145,95.4
2019,231,Dyersburg,Students with Disabilities,38,26,68.4
2019,231,Dyersburg,White,104,94,90.4
2019,240,Fayette County Public Schools,All Students,212,193,91
2019,240,Fayette County Public Schools,American Indian or Alaska Native,1,*,*
2019,240,Fayette County Public Schools,Black or African American,147,134,91.2
2019,240,Fayette County Public Schools,Black/Hispanic/Native American,160,146,91.3
2019,240,Fayette County Public Schools,Economically Disadvantaged,125,111,88.8
2019,240,Fayette County Public Schools,English Learners with Transitional 1-4,2,*,*
2019,240,Fayette County Public Schools,Female,101,93,92.1
2019,240,Fayette County Public Schools,Hispanic,12,11,91.7
2019,240,Fayette County Public Schools,Male,111,100,90.1
2019,240,Fayette County Public Schools,Native Hawaiian or Other Pacific Islander,0,*,*
2019,240,Fayette County Public Schools,Non-Black/Hispanic/Native American,52,47,90.4
2019,240,Fayette County Public Schools,Non-Economically Disadvantaged,87,82,94.3
2019,240,Fayette County Public Schools,Non-English Learners/Transitional 1-4,210,191,91
2019,240,Fayette County Public Schools,Non-Homeless,212,193,91
2019,240,Fayette County Public Schools,Non-Migrant,212,193,91
2019,240,Fayette County Public Schools,Non-Students with Disabilities,178,166,93.3
2019,240,Fayette County Public Schools,Students with Disabilities,34,27,79.4
2019,240,Fayette County Public Schools,White,52,47,90.4
2019,250,Fentress County,All Students,74,71,95.9
2019,250,Fentress County,Black/Hispanic/Native American,1,*,*
2019,250,Fentress County,Economically Disadvantaged,44,43,97.7
2019,250,Fentress County,Female,41,40,97.6
2019,250,Fentress County,Hispanic,1,*,*
2019,250,Fentress County,Homeless,6,*,*
2019,250,Fentress County,Male,33,31,93.9
2019,250,Fentress County,Non-Black/Hispanic/Native American,73,70,95.9
2019,250,Fentress County,Non-Economically Disadvantaged,30,28,93.3
2019,250,Fentress County,Non-English Learners/Transitional 1-4,74,71,95.9
2019,250,Fentress County,Non-Homeless,68,65,95.6
2019,250,Fentress County,Non-Migrant,74,71,95.9
2019,250,Fentress County,Non-Students with Disabilities,64,**,**
2019,250,Fentress County,Students with Disabilities,10,7,70
2019,250,Fentress County,White,73,70,95.9
2019,260,Franklin County,All Students,374,337,90.1
2019,260,Franklin County,American Indian or Alaska Native,3,*,*
2019,260,Franklin County,Asian,3,*,*
2019,260,Franklin County,Black or African American,31,29,93.5
2019,260,Franklin County,Black/Hispanic/Native American,61,52,85.2
2019,260,Franklin County,Economically Disadvantaged,124,102,82.3
2019,260,Franklin County,English Learners with Transitional 1-4,5,*,*
2019,260,Franklin County,Female,177,157,88.7
2019,260,Franklin County,Hispanic,27,20,74.1
2019,260,Franklin County,Homeless,6,*,*
2019,260,Franklin County,Male,197,180,91.4
2019,260,Franklin County,Native Hawaiian or Other Pacific Islander,1,*,*
2019,260,Franklin County,Non-Black/Hispanic/Native American,313,285,91.1
2019,260,Franklin County,Non-Economically Disadvantaged,250,235,94
2019,260,Franklin County,Non-English Learners/Transitional 1-4,369,336,91.1
2019,260,Franklin County,Non-Homeless,368,334,90.8
2019,260,Franklin County,Non-Migrant,374,337,90.1
2019,260,Franklin County,Non-Students with Disabilities,321,300,93.5
2019,260,Franklin County,Students with Disabilities,53,37,69.8
2019,260,Franklin County,White,309,283,91.6
2019,271,Humboldt City Schools,All Students,53,45,84.9
2019,271,Humboldt City Schools,Black or African American,43,39,90.7
2019,271,Humboldt City Schools,Black/Hispanic/Native American,45,40,88.9
2019,271,Humboldt City Schools,Economically Disadvantaged,33,25,75.8
2019,271,Humboldt City Schools,English Learners with Transitional 1-4,1,*,*
2019,271,Humboldt City Schools,Female,29,23,79.3
2019,271,Humboldt City Schools,Hispanic,2,*,*
2019,271,Humboldt City Schools,Homeless,3,*,*
2019,271,Humboldt City Schools,Male,24,22,91.7
2019,271,Humboldt City Schools,Non-Black/Hispanic/Native American,8,*,*
2019,271,Humboldt City Schools,Non-Economically Disadvantaged,20,**,**
2019,271,Humboldt City Schools,Non-English Learners/Transitional 1-4,52,45,86.5
2019,271,Humboldt City Schools,Non-Homeless,50,42,84
2019,271,Humboldt City Schools,Non-Migrant,53,45,84.9
2019,271,Humboldt City Schools,Non-Students with Disabilities,37,35,94.6
2019,271,Humboldt City Schools,Students with Disabilities,16,10,62.5
2019,271,Humboldt City Schools,White,8,*,*
2019,272,Milan,All Students,146,143,97.9
2019,272,Milan,Black or African American,44,41,93.2
2019,272,Milan,Black/Hispanic/Native American,48,45,93.8
2019,272,Milan,Economically Disadvantaged,65,62,95.4
2019,272,Milan,Female,78,76,97.4
2019,272,Milan,Hispanic,4,*,*
2019,272,Milan,Homeless,3,*,*
2019,272,Milan,Male,68,67,98.5
2019,272,Milan,Native Hawaiian or Other Pacific Islander,0,*,*
2019,272,Milan,Non-Black/Hispanic/Native American,98,**,**
2019,272,Milan,Non-Economically Disadvantaged,81,**,**
2019,272,Milan,Non-English Learners/Transitional 1-4,146,143,97.9
2019,272,Milan,Non-Homeless,143,140,97.9
2019,272,Milan,Non-Migrant,146,143,97.9
2019,272,Milan,Non-Students with Disabilities,121,**,**
2019,272,Milan,Students with Disabilities,25,23,92
2019,272,Milan,White,98,**,**
2019,273,Trenton,All Students,110,105,95.5
2019,273,Trenton,Black or African American,35,33,94.3
2019,273,Trenton,Black/Hispanic/Native American,42,40,95.2
2019,273,Trenton,Economically Disadvantaged,59,54,91.5
2019,273,Trenton,English Learners with Transitional 1-4,1,*,*
2019,273,Trenton,Female,44,43,97.7
2019,273,Trenton,Hispanic,7,*,*
2019,273,Trenton,Homeless,4,*,*
2019,273,Trenton,Male,66,62,93.9
2019,273,Trenton,Non-Black/Hispanic/Native American,68,65,95.6
2019,273,Trenton,Non-Economically Disadvantaged,51,**,**
2019,273,Trenton,Non-English Learners/Transitional 1-4,109,104,95.4
2019,273,Trenton,Non-Homeless,106,102,96.2
2019,273,Trenton,Non-Migrant,110,105,95.5
2019,273,Trenton,Non-Students with Disabilities,92,89,96.7
2019,273,Trenton,Students with Disabilities,18,16,88.9
2019,273,Trenton,White,68,65,95.6
2019,274,Bradford,All Students,38,**,**
2019,274,Bradford,Black or African American,2,*,*
2019,274,Bradford,Black/Hispanic/Native American,3,*,*
2019,274,Bradford,Economically Disadvantaged,11,**,**
2019,274,Bradford,Female,21,**,**
2019,274,Bradford,Hispanic,1,*,*
2019,274,Bradford,Homeless,1,*,*
2019,274,Bradford,Male,17,**,**
2019,274,Bradford,Non-Black/Hispanic/Native American,35,**,**
2019,274,Bradford,Non-Economically Disadvantaged,27,**,**
2019,274,Bradford,Non-English Learners/Transitional 1-4,38,**,**
2019,274,Bradford,Non-Homeless,37,**,**
2019,274,Bradford,Non-Migrant,38,**,**
2019,274,Bradford,Non-Students with Disabilities,35,**,**
2019,274,Bradford,Students with Disabilities,3,*,*
2019,274,Bradford,White,35,**,**
2019,275,Gibson Co Sp Dist,All Students,290,268,92.4
2019,275,Gibson Co Sp Dist,Asian,4,*,*
2019,275,Gibson Co Sp Dist,Black or African American,26,24,92.3
2019,275,Gibson Co Sp Dist,Black/Hispanic/Native American,33,30,90.9
2019,275,Gibson Co Sp Dist,Economically Disadvantaged,69,55,79.7
2019,275,Gibson Co Sp Dist,English Learners with Transitional 1-4,1,*,*
2019,275,Gibson Co Sp Dist,Female,133,127,95.5
2019,275,Gibson Co Sp Dist,Hispanic,7,*,*
2019,275,Gibson Co Sp Dist,Homeless,1,*,*
2019,275,Gibson Co Sp Dist,Male,157,141,89.8
2019,275,Gibson Co Sp Dist,Non-Black/Hispanic/Native American,257,238,92.6
2019,275,Gibson Co Sp Dist,Non-Economically Disadvantaged,221,213,96.4
2019,275,Gibson Co Sp Dist,Non-English Learners/Transitional 1-4,289,267,92.4
2019,275,Gibson Co Sp Dist,Non-Homeless,289,268,92.7
2019,275,Gibson Co Sp Dist,Non-Migrant,290,268,92.4
2019,275,Gibson Co Sp Dist,Non-Students with Disabilities,252,243,96.4
2019,275,Gibson Co Sp Dist,Students with Disabilities,38,25,65.8
2019,275,Gibson Co Sp Dist,White,253,234,92.5
2019,280,Giles County,All Students,279,259,92.8
2019,280,Giles County,American Indian or Alaska Native,2,*,*
2019,280,Giles County,Asian,1,*,*
2019,280,Giles County,Black or African American,42,40,95.2
2019,280,Giles County,Black/Hispanic/Native American,53,49,92.5
2019,280,Giles County,Economically Disadvantaged,127,113,89
2019,280,Giles County,English Learners with Transitional 1-4,3,*,*
2019,280,Giles County,Female,141,137,97.2
2019,280,Giles County,Hispanic,9,*,*
2019,280,Giles County,Homeless,6,*,*
2019,280,Giles County,Male,138,122,88.4
2019,280,Giles County,Non-Black/Hispanic/Native American,226,210,92.9
2019,280,Giles County,Non-Economically Disadvantaged,152,146,96.1
2019,280,Giles County,Non-English Learners/Transitional 1-4,276,256,92.8
2019,280,Giles County,Non-Homeless,273,255,93.4
2019,280,Giles County,Non-Migrant,279,259,92.8
2019,280,Giles County,Non-Students with Disabilities,248,234,94.4
2019,280,Giles County,Students with Disabilities,31,25,80.6
2019,280,Giles County,White,225,209,92.9
2019,290,Grainger County,All Students,274,264,96.4
2019,290,Grainger County,Black or African American,4,*,*
2019,290,Grainger County,Black/Hispanic/Native American,14,**,**
2019,290,Grainger County,Economically Disadvantaged,102,95,93.1
2019,290,Grainger County,English Learners with Transitional 1-4,6,*,*
2019,290,Grainger County,Female,142,139,97.9
2019,290,Grainger County,Hispanic,10,**,**
2019,290,Grainger County,Homeless,7,*,*
2019,290,Grainger County,Male,132,125,94.7
2019,290,Grainger County,Migrant,0,*,*
2019,290,Grainger County,Non-Black/Hispanic/Native American,260,250,96.2
2019,290,Grainger County,Non-Economically Disadvantaged,172,169,98.3
2019,290,Grainger County,Non-English Learners/Transitional 1-4,268,258,96.3
2019,290,Grainger County,Non-Homeless,267,259,97
2019,290,Grainger County,Non-Migrant,274,264,96.4
2019,290,Grainger County,Non-Students with Disabilities,245,242,98.8
2019,290,Grainger County,Students with Disabilities,29,22,75.9
2019,290,Grainger County,White,260,250,96.2
2019,300,Greene County,All Students,523,487,93.1
2019,300,Greene County,American Indian or Alaska Native,4,*,*
2019,300,Greene County,Asian,3,*,*
2019,300,Greene County,Black or African American,6,*,*
2019,300,Greene County,Black/Hispanic/Native American,30,25,83.3
2019,300,Greene County,Economically Disadvantaged,217,190,87.6
2019,300,Greene County,English Learners with Transitional 1-4,6,*,*
2019,300,Greene County,Female,270,262,97
2019,300,Greene County,Hispanic,20,16,80
2019,300,Greene County,Homeless,5,*,*
2019,300,Greene County,Male,253,225,88.9
2019,300,Greene County,Migrant,1,*,*
2019,300,Greene County,Non-Black/Hispanic/Native American,493,462,93.7
2019,300,Greene County,Non-Economically Disadvantaged,306,297,97.1
2019,300,Greene County,Non-English Learners/Transitional 1-4,517,483,93.4
2019,300,Greene County,Non-Homeless,518,483,93.2
2019,300,Greene County,Non-Migrant,522,486,93.1
2019,300,Greene County,Non-Students with Disabilities,432,421,97.5
2019,300,Greene County,Students with Disabilities,91,66,72.5
2019,300,Greene County,White,490,459,93.7
2019,301,Greeneville,All Students,230,224,97.4
2019,301,Greeneville,American Indian or Alaska Native,4,*,*
2019,301,Greeneville,Asian,7,*,*
2019,301,Greeneville,Black or African American,25,24,96
2019,301,Greeneville,Black/Hispanic/Native American,31,30,96.8
2019,301,Greeneville,Economically Disadvantaged,66,63,95.5
2019,301,Greeneville,English Learners with Transitional 1-4,5,*,*
2019,301,Greeneville,Female,118,115,97.5
2019,301,Greeneville,Hispanic,2,*,*
2019,301,Greeneville,Homeless,6,*,*
2019,301,Greeneville,Male,112,109,97.3
2019,301,Greeneville,Native Hawaiian or Other Pacific Islander,1,*,*
2019,301,Greeneville,Non-Black/Hispanic/Native American,199,194,97.5
2019,301,Greeneville,Non-Economically Disadvantaged,164,161,98.2
2019,301,Greeneville,Non-English Learners/Transitional 1-4,225,219,97.3
2019,301,Greeneville,Non-Homeless,224,218,97.3
2019,301,Greeneville,Non-Migrant,230,224,97.4
2019,301,Greeneville,Non-Students with Disabilities,193,191,99
2019,301,Greeneville,Students with Disabilities,37,33,89.2
2019,301,Greeneville,White,191,186,97.4
2019,310,Grundy County,All Students,171,155,90.6
2019,310,Grundy County,Black/Hispanic/Native American,2,*,*
2019,310,Grundy County,Economically Disadvantaged,71,62,87.3
2019,310,Grundy County,Female,76,74,97.4
2019,310,Grundy County,Hispanic,2,*,*
2019,310,Grundy County,Homeless,2,*,*
2019,310,Grundy County,Male,95,81,85.3
2019,310,Grundy County,Migrant,1,*,*
2019,310,Grundy County,Non-Black/Hispanic/Native American,169,153,90.5
2019,310,Grundy County,Non-Economically Disadvantaged,100,93,93
2019,310,Grundy County,Non-English Learners/Transitional 1-4,171,155,90.6
2019,310,Grundy County,Non-Homeless,169,154,91.1
2019,310,Grundy County,Non-Migrant,170,155,91.2
2019,310,Grundy County,Non-Students with Disabilities,133,125,94
2019,310,Grundy County,Students with Disabilities,38,30,78.9
2019,310,Grundy County,White,169,153,90.5
2019,320,Hamblen County,All Students,783,739,94.4
2019,320,Hamblen County,American Indian or Alaska Native,5,*,*
2019,320,Hamblen County,Asian,11,**,**
2019,320,Hamblen County,Black or African American,57,50,87.7
2019,320,Hamblen County,Black/Hispanic/Native American,220,199,90.5
2019,320,Hamblen County,Economically Disadvantaged,302,271,89.7
2019,320,Hamblen County,English Learners with Transitional 1-4,43,35,81.4
2019,320,Hamblen County,Female,370,355,95.9
2019,320,Hamblen County,Hispanic,158,144,91.1
2019,320,Hamblen County,Homeless,11,**,**
2019,320,Hamblen County,Male,413,384,93
2019,320,Hamblen County,Migrant,11,**,**
2019,320,Hamblen County,Native Hawaiian or Other Pacific Islander,4,*,*
2019,320,Hamblen County,Non-Black/Hispanic/Native American,563,540,95.9
2019,320,Hamblen County,Non-Economically Disadvantaged,481,468,97.3
2019,320,Hamblen County,Non-English Learners/Transitional 1-4,740,704,95.1
2019,320,Hamblen County,Non-Homeless,772,728,94.3
2019,320,Hamblen County,Non-Migrant,772,728,94.3
2019,320,Hamblen County,Non-Students with Disabilities,676,651,96.3
2019,320,Hamblen County,Students with Disabilities,107,88,82.2
2019,320,Hamblen County,White,548,526,96
2019,330,Hamilton County,All Students,3167,2751,86.9
2019,330,Hamilton County,American Indian or Alaska Native,13,11,84.6
2019,330,Hamilton County,Asian,105,98,93.3
2019,330,Hamilton County,Black or African American,973,818,84.1
2019,330,Hamilton County,Black/Hispanic/Native American,1383,1135,82.1
2019,330,Hamilton County,Economically Disadvantaged,1265,1031,81.5
2019,330,Hamilton County,English Learners with Transitional 1-4,189,108,57.1
2019,330,Hamilton County,Female,1488,1351,90.8
2019,330,Hamilton County,Hispanic,397,306,77.1
2019,330,Hamilton County,Homeless,92,71,77.2
2019,330,Hamilton County,Male,1679,1400,83.4
2019,330,Hamilton County,Migrant,2,*,*
2019,330,Hamilton County,Native Hawaiian or Other Pacific Islander,2,*,*
2019,330,Hamilton County,Non-Black/Hispanic/Native American,1784,1616,90.6
2019,330,Hamilton County,Non-Economically Disadvantaged,1902,1720,90.4
2019,330,Hamilton County,Non-English Learners/Transitional 1-4,2978,2643,88.8
2019,330,Hamilton County,Non-Homeless,3075,2680,87.2
2019,330,Hamilton County,Non-Migrant,3165,2750,86.9
2019,330,Hamilton County,Non-Students with Disabilities,2773,2484,89.6
2019,330,Hamilton County,Students with Disabilities,394,267,67.8
2019,330,Hamilton County,White,1677,1516,90.4
2019,340,Hancock County,All Students,76,74,97.4
2019,340,Hancock County,Economically Disadvantaged,44,42,95.5
2019,340,Hancock County,Female,31,**,**
2019,340,Hancock County,Male,45,43,95.6
2019,340,Hancock County,Non-Black/Hispanic/Native American,76,74,97.4
2019,340,Hancock County,Non-Economically Disadvantaged,32,**,**
2019,340,Hancock County,Non-English Learners/Transitional 1-4,76,74,97.4
2019,340,Hancock County,Non-Homeless,76,74,97.4
2019,340,Hancock County,Non-Migrant,76,74,97.4
2019,340,Hancock County,Non-Students with Disabilities,59,57,96.6
2019,340,Hancock County,Students with Disabilities,17,**,**
2019,340,Hancock County,White,76,74,97.4
2019,350,Hardeman County Schools,All Students,287,236,82.2
2019,350,Hardeman County Schools,Asian,4,*,*
2019,350,Hardeman County Schools,Black or African American,153,126,82.4
2019,350,Hardeman County Schools,Black/Hispanic/Native American,159,130,81.8
2019,350,Hardeman County Schools,Economically Disadvantaged,163,120,73.6
2019,350,Hardeman County Schools,English Learners with Transitional 1-4,4,*,*
2019,350,Hardeman County Schools,Female,135,118,87.4
2019,350,Hardeman County Schools,Hispanic,6,*,*
2019,350,Hardeman County Schools,Homeless,5,*,*
2019,350,Hardeman County Schools,Male,152,118,77.6
2019,350,Hardeman County Schools,Non-Black/Hispanic/Native American,128,106,82.8
2019,350,Hardeman County Schools,Non-Economically Disadvantaged,124,116,93.5
2019,350,Hardeman County Schools,Non-English Learners/Transitional 1-4,283,233,82.3
2019,350,Hardeman County Schools,Non-Homeless,282,233,82.6
2019,350,Hardeman County Schools,Non-Migrant,287,236,82.2
2019,350,Hardeman County Schools,Non-Students with Disabilities,251,215,85.7
2019,350,Hardeman County Schools,Students with Disabilities,36,21,58.3
2019,350,Hardeman County Schools,White,124,102,82.3
2019,360,Hardin County,All Students,267,255,95.5
2019,360,Hardin County,American Indian or Alaska Native,1,*,*
2019,360,Hardin County,Asian,2,*,*
2019,360,Hardin County,Black or African American,19,18,94.7
2019,360,Hardin County,Black/Hispanic/Native American,26,25,96.2
2019,360,Hardin County,Economically Disadvantaged,121,113,93.4
2019,360,Hardin County,English Learners with Transitional 1-4,2,*,*
2019,360,Hardin County,Female,126,120,95.2
2019,360,Hardin County,Hispanic,6,*,*
2019,360,Hardin County,Homeless,16,15,93.8
2019,360,Hardin County,Male,141,135,95.7
2019,360,Hardin County,Non-Black/Hispanic/Native American,241,230,95.4
2019,360,Hardin County,Non-Economically Disadvantaged,146,142,97.3
2019,360,Hardin County,Non-English Learners/Transitional 1-4,265,253,95.5
2019,360,Hardin County,Non-Homeless,251,240,95.6
2019,360,Hardin County,Non-Migrant,267,255,95.5
2019,360,Hardin County,Non-Students with Disabilities,224,214,95.5
2019,360,Hardin County,Students with Disabilities,43,41,95.3
2019,360,Hardin County,White,239,228,95.4
2019,370,Hawkins County,All Students,508,486,95.7
2019,370,Hawkins County,American Indian or Alaska Native,1,*,*
2019,370,Hawkins County,Asian,4,*,*
2019,370,Hawkins County,Black or African American,13,11,84.6
2019,370,Hawkins County,Black/Hispanic/Native American,28,24,85.7
