district_number,district,school_number,school_name,street_address_1,city,state,zipcode,phone1,phone2,countyname,year,principal,grades_served
190,Davidson County,300,Harpeth Valley Elementary,7840 Learning LN,Nashville,TN,37221,(615) 662-3015,,Davidson County,2020,Dr. Ann-Marie Gleason,Grades PK-4
190,Davidson County,302,Harris-Hillman Special Education,1706 26th Avenue South,Nashville,TN,37212,(615) 298-8085,,Davidson County,2020,Gerry Altieri,Grades PK-12
190,Davidson County,305,Haynes Middle,510 West Trinity LN,Nashville,TN,37207,(615) 262-6688,,Davidson County,2020,Dr. Robin Allen,Grades 5-8
190,Davidson County,310,Haywood Elementary,3790  Turley  DR,Nashville,TN,37211,(615) 333-5118,,Davidson County,2020,Megan Galloway,Grades PK-4
190,Davidson County,315,Head Middle,1830 Jo Johnston AVE,Nashville,TN,37203,(615) 329-8160,,Davidson County,2020,Dr. Tonja Williams,Grades 5-8
190,Davidson County,318,Henry C. Maxwell Elementary,5535 Blue Hole RD,Antioch,TN,37013,(615) 333-7180,,Davidson County,2020,Dr. Bernice Russell,Grades PK-4
190,Davidson County,320,Hermitage Elementary,3800  Plantation  DR,Hermitage,TN,37076,(615) 885-8838,,Davidson County,2020,Matthew Owensby,Grades PK-4
190,Davidson County,327,Hickman Elementary,112 Stewarts Ferry PIKE,Nashville,TN,37214,(615) 884-4020,,Davidson County,2020,Chris Holmes,Grades PK-4
190,Davidson County,330,Meigs Middle,713 Ramsey ST,Nashville,TN,37206,(615) 271-3222,,Davidson County,2020,Samuel S. Underwood,Grades 5-8
190,Davidson County,335,Hillsboro High,3812 Hillsboro PIKE,Nashville,TN,37215,(615) 298-8400,,Davidson County,2020,Shuler Pelham,Grades 8-12
190,Davidson County,340,Hillwood High,400  Davidson  RD,Nashville,TN,37205,(615) 353-2025,,Davidson County,2020,Dr. Stephen Sheaffer,Grades 9-12
190,Davidson County,350,Hull-Jackson Elementary,1015  Kellow  ST,Nashville,TN,37208,(615) 291-6601,,Davidson County,2020,Martha Phillips,Grades PK-4
190,Davidson County,355,Hume - Fogg High,700  Broadway,Nashville,TN,37203,(615) 291-6300,,Davidson County,2020,Dr. Kellie M. Hargis,Grades 9-12
190,Davidson County,358,Hunters Lane High,1150  Hunters  LN,Nashville,TN,37207,(615) 860-1401,,Davidson County,2020,Dr. Susan Kessler,Grades 9-12
190,Davidson County,360,Inglewood Elementary,1700  Riverside  DR,Nashville,TN,37216,(615) 262-6697,,Davidson County,2020,Ashley Croft,Grades PK-4
190,Davidson County,365,Isaac Litton Middle,4601  Hedgewood  DR,Nashville,TN,37216,(615) 262-6700,,Davidson County,2020,Chara Rand,Grades 5-8
190,Davidson County,370,J. E. Moss Elementary,4701  Bowfield  DR,Antioch,TN,37013,(615) 333-5200,,Davidson County,2020,Mr. Anthony Febles,Grades PK-4
190,Davidson County,375,Jere Baxter Middle,350 Hart LN,Nashville,TN,37207,(615) 262-6710,,Davidson County,2020,Kisha Cox,Grades 5-8
190,Davidson County,380,Joelton Elementary,7141 Whites Creek PIKE,Joelton,TN,37080,(615) 876-5110,,Davidson County,2020,Dr. Rebecca Welch,Grades PK-4
190,Davidson County,385,Joelton Middle,3500 Old Clarksville PIKE,Joelton,TN,37080,(615) 876-5100,,Davidson County,2020,,Grades 5-8
190,Davidson County,386,John Early Middle,1000 Cass ST,Nashville,TN,37208,(615) 291-6369,,Davidson County,2020,Dr. Darwin L. Mason,Grades 5-8
190,Davidson County,387,Jones Elementary,1800 9th AVE,Nashville,TN,37208,(615) 291-6382,,Davidson County,2020,Dr. Victoria Shields,Grades KG-4
190,Davidson County,390,John B. Whitsitt Elementary,110 Whitsett RD,Nashville,TN,37210,(615) 333-5600,,Davidson County,2020,Mr. Justin Uppinghouse,Grades PK-4
190,Davidson County,393,John F. Kennedy Middle,2087 Hobson PIKE,Antioch,TN,37013,(615) 501-7900,,Davidson County,2020,Dr. Shavon Davis-Louis,Grades 5-8
190,Davidson County,395,John Overton High,4820  Franklin  RD,Nashville,TN,37220,(615) 333-5135,,Davidson County,2020,Dr. Jill Pittman,Grades 9-12
190,Davidson County,415,Julia Green Elementary,3701 Belmont RD,Nashville,TN,37215,(615) 298-8082,,Davidson County,2020,Dr. Andrew Davis,Grades KG-4
190,Davidson County,420,Robert E. Lillard Elementary,3200  Kings  LN,Nashville,TN,37218,(615) 876-5126,,Davidson County,2020,,Grades KG-4
190,Davidson County,430,Lakeview Elementary,455 Rural Hill RD,Nashville,TN,37217,(615) 360-2912,,Davidson County,2020,Dr. Shantrell Pirtle,Grades PK-4
190,Davidson County,435,Lockeland Elementary,105 South 17th ST,Nashville,TN,37206,(615) 258-1330,,Davidson County,2020,Mrs. Christie C. Lewis,Grades KG-4
190,Davidson County,437,Middle College High,120 White Bridge RD,Nashville,TN,37209,(615) 353-3333,,Davidson County,2020,Mr. Roderick Manuel,Grades 9-12
190,Davidson County,443,Cora Howe School,1928 Greenwood AVE,Nashville,TN,37206,(615) 612-2545,,Davidson County,2020,Kristopher Winfrey,Grades 2-12
190,Davidson County,445,Maplewood High,401 Walton LN,Nashville,TN,37216,(615) 262-6770,,Davidson County,2020,Sonya Brooks,Grades 9-12
190,Davidson County,450,Margaret Allen Middle,500  Spence  LN,Nashville,TN,37210,(615) 291-6385,,Davidson County,2020,Monica Bryant,Grades 5-8
190,Davidson County,456,Martin Luther King Jr School,613 17th Avenue North,Nashville,TN,37203,(615) 329-8400,,Davidson County,2020,Dr. Angela McShephard-Ray,Grades 7-12
190,Davidson County,465,McGavock Elementary,275  McGavock  PIKE,Nashville,TN,37214,(615) 885-8912,,Davidson County,2020,Rae Covey,Grades PK-4
190,Davidson County,470,McGavock High,3150  McGavock  PIKE,Nashville,TN,37214,(615) 885-8850,,Davidson County,2020,Mr. Robin Wall,Grades 9-12
190,Davidson County,480,McMurray Middle,520  McMurray  DR,Nashville,TN,37211,(615) 333-5126,,Davidson County,2020,Mr. T-Shaka Coverson,Grades 5-8
190,Davidson County,490,John Trotwood Moore Middle,4425  Granny  White PIKE,Nashville,TN,37204,(615) 298-8095,,Davidson County,2020,Dr. Gary Hughes,Grades 5-8
190,Davidson County,493,Mt. View Elementary,3820  Murfreesboro  RD,Antioch,TN,37013,(615) 641-9393,,Davidson County,2020,Mrs. Julia Lamb,Grades PK-4
190,Davidson County,505,Murrell at Glenn School,322 Cleveland ST,Nashville,TN,37207,(615) 298-8070,,Davidson County,2020,Susan Siegel,Grades KG-8
190,Davidson County,510,Napier Elementary,60  Fairfield  AVE,Nashville,TN,37210,(615) 291-6400,,Davidson County,2020,Dr. Watechia Lawless,Grades PK-4
190,Davidson County,512,Nashville School Of The Arts,1250 Foster AVE,Nashville,TN,37210,(615) 291-6600,,Davidson County,2020,Dr. Gregory Stewart,Grades 9-12
190,Davidson County,515,Neely's Bend Elementary,3230 Brick Church RD,Nashville,TN,37207,(615) 860-1471,,Davidson County,2020,Kimberly Bullock,Grades PK-4
190,Davidson County,525,Norman Binkley Elementary,4700 West Longdale DR,Nashville,TN,37211,(615) 333-5037,,Davidson County,2020,James Urquhart,Grades PK-4
190,Davidson County,535,Old Center Elementary,1245 Dickerson Pike South,Goodlettsville,TN,37072,(615) 859-8968,,Davidson County,2020,Ms. Brenda Steele,Grades PK-4
190,Davidson County,538,William Henry Oliver Middle,6211 Nolensville RD,Nashville,TN,37211,(615) 332-3011,,Davidson County,2020,Dr. Erin Anderson,Grades 5-8
190,Davidson County,540,Paragon Mills Elementary,260 Paragon Mills RD,Nashville,TN,37211,(615) 333-5170,,Davidson County,2020,Shawnna Pierce,Grades PK-4
190,Davidson County,545,Park Avenue Elementary,3703  Park  AVE,Nashville,TN,37209,(615) 298-8412,,Davidson County,2020,Mrs. Deltina Short,Grades PK-4
190,Davidson County,555,Pearl-Cohn High,904 26th Avenue North,Nashville,TN,37208,(615) 329-8150,,Davidson County,2020,Miriam Harrington,Grades 9-12
190,Davidson County,565,Pennington Elementary,2817 Donna Hill DR,Nashville,TN,37214,(615) 885-8918,,Davidson County,2020,Ms. Jacqueline Kinzer,Grades PK-4
190,Davidson County,570,Percy Priest Elementary,1700  Otter  Creek RD,Nashville,TN,37215,(615) 298-8416,,Davidson County,2020,Melinda Williams,Grades KG-4
190,Davidson County,595,Rose Park Middle,1025 9th Avenue South,Nashville,TN,37203,(615) 291-6405,,Davidson County,2020,Mr. Rommie Vasser Jr,Grades 5-8
190,Davidson County,600,Rosebank Elementary,1012  Preston  DR,Nashville,TN,37206,(615) 262-6720,,Davidson County,2020,Kellee Akers,Grades PK-4
190,Davidson County,607,Ruby Major Elementary,5141 John Hager RD,Hermitage,TN,37076,(615) 232-2203,,Davidson County,2020,Mr. Michael Westveer,Grades PK-4
190,Davidson County,608,May Werthan Shayne Elementary School,6217 Nolensville RD,Nashville,TN,37211,(615) 332-3020,,Davidson County,2020,Donna Gill,Grades PK-4
190,Davidson County,610,Shwab Elementary,1500  Dickerson  RD,Nashville,TN,37207,(615) 262-6725,,Davidson County,2020,Dr. Cheryl Bowman,Grades PK-4
190,Davidson County,612,The Academy at Opry Mills,433 Opry Mills DR,Nashville,TN,37214,(615) 687-4028,(615) 687-4028,Davidson County,2020,Carmon Brown,Grades 12-12
190,Davidson County,614,The Academy at Old Cockrill,610 49th AVE,Nashville,TN,37209,(615) 298-2294,(615) 298-2294,Davidson County,2020,Julie Travis,Grades 12-12
190,Davidson County,615,Stanford Elementary,2417  Maplecrest  DR,Nashville,TN,37214,(615) 885-8822,,Davidson County,2020,Angela Bailey,Grades PK-4
190,Davidson County,618,Robert Churchwell Elementary,1625 Dr. D. B. Todd Jr. BLVD,Nashville,TN,37208,(615) 687-4024,(615) 687-4024,Davidson County,2020,Marcia Northern,Grades PK-4
190,Davidson County,620,Stratford STEM Magnet School,1800  Stratford  AVE,Nashville,TN,37216,(615) 262-6730,,Davidson County,2020,Mr. Michael Steele,Grades 5-12
190,Davidson County,622,Madison Middle,300 W Old Hickory BLVD,Madison,TN,37115,(615) 687-4018,,Davidson County,2020,Brian J Mells Ed.D.,Grades 5-8
190,Davidson County,625,Stratton Elementary,310 Old Hickory Blvd. West,Madison,TN,37115,(615) 860-1486,,Davidson County,2020,Mrs. Renita Perkins,Grades PK-4
190,Davidson County,630,Sylvan Park Elementary,4801  Utah  AVE,Nashville,TN,37209,(615) 298-8423,,Davidson County,2020,Elizabeth Goetz,Grades KG-4
190,Davidson County,633,Thurgood Marshall Middle,5820 Pettus RD,Antioch,TN,37013,(615) 941-7515,,Davidson County,2020,Joseph Gilkes,Grades 5-8
190,Davidson County,635,Tom Joy Elementary,2201  Jones  AVE,Nashville,TN,37207,(615) 262-6724,,Davidson County,2020,Ms. Sandra Moorman,Grades PK-4
190,Davidson County,637,Tulip Grove Elementary,441  Tyler  DR,Hermitage,TN,37076,(615) 885-8944,,Davidson County,2020,Dr. Allyson Johnson,Grades PK-4
190,Davidson County,645,Tusculum Elementary,440 McMurray DR,Nashville,TN,37211,(615) 333-5179,,Davidson County,2020,Ms. Alison McMahan,Grades PK-4
190,Davidson County,650,Two Rivers Middle,2991  McGavock  PIKE,Nashville,TN,37214,(615) 885-8931,,Davidson County,2020,Dr. Shelly Dunaway,Grades 5-8
190,Davidson County,655,Una Elementary,2018 Murfreesboro RD,Nashville,TN,37214,(615) 360-2921,,Davidson County,2020,Ms. Amelia Dukes,Grades PK-4
190,Davidson County,670,Carter-Lawrence Elementary,1118 12th Avenue South,Nashville,TN,37203,(615) 291-7333,,Davidson County,2020,Dr. Sherleta Sanders,Grades PK-4
190,Davidson County,675,Warner Elementary,626  Russell  ST,Nashville,TN,37206,(615) 291-6395,,Davidson County,2020,Dr. Ricki Gibbs,Grades PK-4
190,Davidson County,690,West End Middle,3529 West End AVE,Nashville,TN,37205,(615) 298-8425,,Davidson County,2020,Dr. Russell Young,Grades 5-8
190,Davidson County,695,Westmeade Elementary,6641  Clearbrook  DR,Nashville,TN,37205,(615) 353-2066,,Davidson County,2020,Stephen Breese,Grades KG-4
190,Davidson County,700,Isaiah T. Creswell Middle School of the Arts,3500 John Mallette DR,Nashville,TN,37218,(615) 291-6515,,Davidson County,2020,Ms. Trellaney Lane,Grades 5-8
190,Davidson County,704,Whites Creek High,7277  Old  Hickory BLVD,Whites Creek,TN,37189,(615) 876-5132,,Davidson County,2020,Dr. James Bailey,Grades 9-12
190,Davidson County,715,Wright Middle,180  McCall  ST,Nashville,TN,37211,(615) 333-5189,,Davidson County,2020,Dr. Sharada Deaton,Grades 5-8
190,Davidson County,720,The Academy at Hickory Hollow,5248 Hickory Hollow PKWY,Antioch,TN,37013,(615) 687-4028,,Davidson County,2020,William Fellman,Grades 12-12
190,Davidson County,725,Transitions at Bass,5200 Delaware AVE,Nashville,TN,37209,(615) 298-3278,(615) 298-3278,Davidson County,2020,Henry Johnson,Grades 10-12
190,Davidson County,740,Johnson Alternative Learning Center,1200 2nd Ave South,Nashville,TN,37210,(615) 749-3067,(615) 749-3067,Davidson County,2020,Myron Franklin,Grades 5-12
190,Davidson County,745,The Cohn Learning Center,4805 Park AVE,Nashville,TN,37209,(615) 259-8400,,Davidson County,2020,,Grades 10-12
190,Davidson County,750,Smith Springs Elementary School,3132 Smith Springs RD,Antioch,TN,37013,(615) 645-6465,(615) 645-6465,Davidson County,2020,Dr. Cherish Piche,Grades PK-4
190,Davidson County,755,Waverly-Belmont Elementary School,2301 10th Ave South,Nashville,TN,37204,(615) 800-7690,,Davidson County,2020,Susan Blankenship,Grades KG-4
190,Davidson County,7001,Martha O' Bryan Center,711 South 7th ST,Nashville,TN,37203,(615) 254-1791,,Davidson County,2020,Sharon Browne,Grades PK-PK
190,Davidson County,7002,Susan Gray School,230 Appleton Way,Nashville,TN,37203,(615) 322-8201,,Davidson County,2020,Ruth Wolery,Grades PK-PK
190,Davidson County,7003,Wayne Reed Child Care Center,11- B Lindsley AVE,Nashville,TN,37210,(615) 244-9311,,Davidson County,2020,Patricia Newman Horton,Grades PK-PK
190,Davidson County,7005,Cambridge Early Learning Center,2325 Hickory Highlands Drive,Antioch,TN,37013,(615) 687-4560,(615) 687-4560,Davidson County,2020,Deeanne Miree,Grades PK-PK
190,Davidson County,7010,Ivanetta H. Davis Learning Center at Bordeaux,1910 South Hamilton ST,Nashville,TN,37218,(615) 291-6355,,Davidson County,2020,Dr. Dana Eckman,Grades PK-PK
190,Davidson County,7015,Ross Early Learning Center,601 McFerrin AVE,Nashville,TN,37206,(615) 262-6721,,Davidson County,2020,Miatta Alexander,Grades PK-PK
190,Davidson County,7020,Casa Azafran Early Learning Center,2195 Nolensville PIKE,Nashville,TN,37211,(615) 291-4672,(615) 291-4672,Davidson County,2020,Dalila Duarte,Grades PK-PK
190,Davidson County,8001,Smithson Craighead Academy,730 Neely's Bend RD,Madison,TN,37115,(615) 228-9886,,Davidson County,2020,Ahmed White,Grades KG-4
190,Davidson County,8002,KIPP Academy Nashville,123 Douglas AVE,Nashville,TN,37207,(615) 226-4484,,Davidson County,2020,Hada Flores,Grades 5-8
190,Davidson County,8003,Lead Academy,1035 1st Ave South,Nashville,TN,37210,(615) 327-5422,,Davidson County,2020,Nic Frank,Grades 9-12
190,Davidson County,8005,Liberty Collegiate Academy,3515 Gallatin RD,Nashville,TN,37206,(615) 564-1974,(615) 564-1974,Davidson County,2020,Macy Bennett,Grades 5-8
190,Davidson County,8006,STEM Prep Academy,1162 Foster AVE,Nashville,TN,37210,(615) 752-0002,(615) 752-0002,Davidson County,2020,Dr. Kristin McGraner,Grades 5-8
190,Davidson County,8008,Nashville Prep,1300 56th Ave N,Nashville,TN,37209,(615) 538-7284,(615) 538-7284,Davidson County,2020,Christina McDonald,Grades 5-8
190,Davidson County,8009,East End Preparatory School,1460 McGavock PIKE,Nashville,TN,37216,(615) 630-7470,(615) 630-7470,Davidson County,2020,Jim Leckrone,Grades KG-8
190,Davidson County,8010,LEAD Cameron,1034 1st Avenue South,Nashville,TN,37210,(615) 291-6365,,Davidson County,2020,Kate Ring,Grades 5-8
190,Davidson County,8011,KIPP Nashville Collegiate High School,123 Douglas AVE,Nashville,TN,37207,(615) 226-4484,,Davidson County,2020,Jake Ramsey,Grades 9-12
190,Davidson County,8012,Knowledge Academy,5320 Hickory Hollow PKWY,Antioch,TN,37013,(615) 800-6814,,Davidson County,2020,Elizabeth Amato,Grades 5-8
190,Davidson County,8013,LEAD Southeast,531 Metroplex DR,Nashville,TN,37211,(615) 800-6814,,Davidson County,2020,Emma Mac,Grades 5-11
190,Davidson County,8042,KIPP Nashville College Prep,3410 Knight RD,Nashville,TN,37207,(615) 226-4484,,Davidson County,2020,Nikki Miller-Olzewski,Grades 5-8
190,Davidson County,8044,Nashville Classical,2000 Greenwood AVE,Nashville,TN,37206,(615) 538-5841,(615) 538-5841,Davidson County,2020,Charlie Friedman,Grades KG-6
190,Davidson County,8045,Valor Flagship Academy,4527 Nollensville RD,Nashville,TN,37211,(615) 823-7982,(615) 823-7982,Davidson County,2020,Jamie Gutter,Grades 5-10
190,Davidson County,8046,Purpose Prep,220 Venture CIR,Nashville,TN,37228,(615) 724-0705,,Davidson County,2020,Lagra Newman,Grades KG-4
190,Davidson County,8048,Intrepid College Preparatory Charter School,5432 Bell Forge Lane East,Antioch,TN,37013,(615) 200-0131,,Davidson County,2020,Lizzie Stewart,Grades 5-11
190,Davidson County,8050,Rocketship Nashville Northeast Elementary,2526 Dickerson RD,Nashville,TN,37207,(615) 650-5560,(615) 650-5560,Davidson County,2020,Jermaine Gassaway,Grades KG-4
190,Davidson County,8055,Nashville Academy of Computer Science,3307 Brick Church PIKE,Nashville,TN,37207,(615) 921-5000,,Davidson County,2020,,Grades 5-8
190,Davidson County,8060,Explore Community School,217 South 10th ST,NAShville,TN,37206,(615) 784-8222,(615) 784-8222,Davidson County,2020,Jon Driskell,Grades KG-4
190,Davidson County,8065,Knowledge Academies High School,5320 Hickory Hollow PKWY,Antioch,TN,37013,(615) 810-8370,(615) 810-8370,Davidson County,2020,Martel Graham,Grades 9-12
190,Davidson County,8070,Rocketship United,320 Plus Park BLVD,Nashville,TN,37217,(615) 712-7499,(615) 712-7499,Davidson County,2020,James Robinson,Grades KG-4
190,Davidson County,8075,STEM Prep High School,1162 foster AVE,Nashville,TN,37210,(615) 921-2200,,Davidson County,2020,Kristin  McGraner,Grades 9-12
190,Davidson County,8080,Valor Voyager Academy,4527 Nolensville RD,Nashville,TN,37211,(615) 823-7982,(615) 823-7982,Davidson County,2020,Sarah Giblin,Grades 5-8
190,Davidson County,8085,KIPP Nashville College Prep Elementary,3410 Knight RD,Nashville,TN,37207,(615) 226-4484,,Davidson County,2020,Christa Thomas,Grades KG-3
190,Davidson County,8090,Strive Collegiate Academy,3055 Lebanon RD,Nashville,TN,37214,(615) 645-6440,(615) 645-6440,Davidson County,2020,LaKendra Butler,Grades 5-8
190,Davidson County,8095,KIPP Academy Nashville Elementary School,1000 Sevier ST,Nashville,TN,37206,(615) 226-4484,(615) 226-4484,Davidson County,2020,Amy Galloway,Grades KG-4
190,Davidson County,8100,RePublic High School,3307 Brick Church PIKE,Nashville,TN,37207,(615) 921-6620,(615) 921-6620,Davidson County,2020,Matthew Dempsey,Grades 9-12
190,Davidson County,8105,KA @ The Crossings,5320 Hickory Hollow PKWY,Antioch,TN,37013,(615) 810-8370,,Davidson County,2020,Edon Katz,Grades 5-8
200,Decatur County,3,Riverside High School,4250 Highway 641 South,Decaturville,TN,38329,(731) 852-3941,,Decatur County,2020,Hugh Smith,Grades 9-12
200,Decatur County,5,Decaturville Elementary,P. O. Box 9 ST,Decaturville,TN,38329,(731) 852-4616,,Decatur County,2020,Melinda Thompson,Grades PK-4
200,Decatur County,10,Parsons Elementary,182 West 4th ST,Parsons,TN,38363,(731) 847-7317,,Decatur County,2020,Mr. Jeffery Scott King,Grades PK-4
200,Decatur County,20,Decatur County Middle School,2740 Hwy 641 South,Parsons,TN,38363,(731) 847-6510,,Decatur County,2020,Keith Walker,Grades 5-8
210,DeKalb County,10,De Kalb County Adult High School,242 Tiger DR,Smithville,TN,37166,(615) 497-2254,(615) 497-2254,DeKalb County,2020,Randy Jennings,Grades 12-12
210,DeKalb County,25,De Kalb County High School,1130 West Broad ST,Smithville,TN,37166,(615) 597-4094,,DeKalb County,2020,Randy Jennings,Grades 9-12
210,DeKalb County,37,DeKalb Middle School,1132 West Broad ST,Smithville,TN,37166,(615) 597-7987,,DeKalb County,2020,Amanda Dakas,Grades 6-8
210,DeKalb County,40,Northside Elementary,400 North Congress BLVD,Smithville,TN,37166,(615) 597-1575,,DeKalb County,2020,Karen Knowles,Grades 2-5
210,DeKalb County,45,Smithville Elementary,221  E  Bryant ST,Smithville,TN,37166,(615) 597-4415,,DeKalb County,2020,Mrs. Julie Vincent,Grades PK-2
210,DeKalb County,50,DeKalb West Elementary,101 Bulldog LN,Liberty,TN,37059,(615) 536-5332,,DeKalb County,2020,Sabrina Farler,Grades PK-8
220,Dickson County,5,Stuart Burns Elementary,3201  Highway  96,Burns,TN,37029,(615) 446-2791,,Dickson County,2020,Amanda Nicks,Grades PK-5
220,Dickson County,7,Charlotte Elementary,200  Humphries  ST,Charlotte,TN,37036,(615) 740-5803,,Dickson County,2020,Malissa Johnson,Grades PK-5
220,Dickson County,8,Centennial Elementary,198  Upper  Lake DR,Dickson,TN,37055,(615) 446-0355,,Dickson County,2020,Crystal Sheley,Grades PK-5
220,Dickson County,10,New Directions Academy,4000  Highway  48 North,Charlotte,TN,37036,(615) 740-6070,,Dickson County,2020,Dr. Rhiannon Mason,Grades KG-12
220,Dickson County,15,Charlotte Middle School,P.O. Box 40 ST,Charlotte,TN,37036,(615) 740-6060,,Dickson County,2020,Dr. Justin Barden,Grades 6-8
220,Dickson County,17,Creek Wood High School,3499 Highway 47 North,Charlotte,TN,37036,(615) 740-6000,,Dickson County,2020,Polly Spencer,Grades 9-12
220,Dickson County,18,Dickson County Adult High School,220 Mc Lemore ST,Dickson,TN,37055,(615) 446-2114,,Dickson County,2020,Karen Willey,Grades 9-12
220,Dickson County,20,Dickson Elementary,120  W  Broad ST,Dickson,TN,37055,(615) 740-5837,,Dickson County,2020,Andrea Bledsoe,Grades PK-5
220,Dickson County,23,Dickson Middle School,401  E  College ST,Dickson,TN,37055,(615) 446-2273,,Dickson County,2020,Leslie Harrison,Grades 6-9
220,Dickson County,25,Dickson County High School,509  Henslee  DR,Dickson,TN,37055,(615) 446-9003,,Dickson County,2020,Joey Holley,Grades 9-12
220,Dickson County,28,The Discovery School,101  Henslee  DR,Dickson,TN,37055,(615) 441-4163,,Dickson County,2020,Rachel Storment,Grades KG-5
220,Dickson County,30,Oakmont Elementary,630  Hwy  46 South,Dickson,TN,37055,(615) 446-2435,,Dickson County,2020,Misty Hodge,Grades PK-5
220,Dickson County,40,Vanleer Elementary,P. O. Box 7,Vanleer,TN,37181,(615) 740-5760,,Dickson County,2020,Sue Stringfield,Grades PK-5
220,Dickson County,44,White Bluff Elementary,P. O. Box A RD,White Bluff,TN,37187,(615) 740-5775,,Dickson County,2020,Andrea Beaubien,Grades PK-5
220,Dickson County,50,W James Middle School,P. O. Box 169 RD,White Bluff,TN,37187,(615) 740-5770,,Dickson County,2020,Jan Ford,Grades 6-8
220,Dickson County,55,Burns Middle School,88 Bobcat TRL,Burns,TN,37029,(615) 740-1860,,Dickson County,2020,Dr. Corey Duke,Grades 6-8
220,Dickson County,60,Sullivan Central Elementary School,507 Henslee DR,Dickson,TN,37055,(615) 446-7571,,Dickson County,2020,Amanda Roche,Grades KG-5
220,Dickson County,7001,Special Services,115 Academy ST,Dickson,TN,37055,(931) 289-4135,,Dickson County,2020,William Burton,Grades PK-8
230,Dyer County,15,Northview Middle School,820 Williams ST,Newbern,TN,38059,(731) 627-3713,,Dyer County,2020,Lynn Garner,Grades 6-8
230,Dyer County,18,Dyer County High School,1000 West Main ST,Newbern,TN,38059,(731) 627-2229,,Dyer County,2020,Laura Brimm,Grades 9-12
230,Dyer County,20,Fifth Consolidated School,2150 Millsfield HWY,Dyersburg,TN,38024,(731) 285-2840,,Dyer County,2020,Greg Cherry,Grades PK-5
230,Dyer County,25,Finley Elementary,P O Box K,Finley,TN,38030,(731) 285-7050,,Dyer County,2020,Julie Sartin,Grades PK-5
230,Dyer County,30,Holice Powell Elementary,988 Highway 210 South,Dyersburg,TN,38024,(731) 285-1994,,Dyer County,2020,Sara Cravens,Grades PK-5
230,Dyer County,35,Newbern Elementary School,320 Washington ST,Newbern,TN,38059,(731) 627-2139,,Dyer County,2020,Kevin Hill,Grades PK-8
230,Dyer County,43,Three Oaks Middle School,3200 Upper Finley ST,Dyersburg,TN,38024,(731) 285-3100,,Dyer County,2020,Matt Stafford,Grades 6-8
230,Dyer County,45,Trimble Elementary,256  College  ST,Trimble,TN,38259,(731) 297-5512,,Dyer County,2020,Cindy Hutching,Grades PK-5
231,Dyersburg,12,Dyersburg Intermediate School,725  Tibbs  ST,Dyersburg,TN,38024,(731) 286-3620,,Dyer County,2020,Lenita Click,Grades 3-5
231,Dyersburg,15,Dyersburg High School,125 Highway 51  By- Pass West,Dyersburg,TN,38024,(731) 286-3630,,Dyer County,2020,Kamela Rogers,Grades 9-12
231,Dyersburg,21,Dyersburg Middle School,400 Frank Maynard DR,Dyersburg,TN,38024,(731) 286-3625,,Dyer County,2020,Jeremy Hinson,Grades 6-8
231,Dyersburg,25,Dyersburg Primary,1425 Frank Maynard DR,Dyersburg,TN,38024,(731) 286-3615,,Dyer County,2020,Linda DeBerry,Grades PK-2
240,Fayette County Public Schools,18,East Jr. High School,400 Leach RD,Somerville,TN,38068,(901) 465-3151,,Fayette County,2020,Stephanie Blayde,Grades 6-8
240,Fayette County Public Schools,26,Fayette Ware Comprehensive High School,P. O. Box 849,Somerville,TN,38068,(901) 465-9838,,Fayette County,2020,Dr. Kerri Ann Kimery-Breeden,Grades 9-12
240,Fayette County Public Schools,46,La Grange Moscow Elementary,15655 Highway 57 East,Moscow,TN,38057,(901) 877-6854,,Fayette County,2020,Courtney Breeden,Grades PK-5
240,Fayette County Public Schools,60,Oakland Elementary,14925 Hwy 194 North,Oakland,TN,38060,(901) 465-3804,,Fayette County,2020,Constance Wright,Grades PK-5
240,Fayette County Public Schools,70,Southwest Elementary,P. O. Box 2871,Macon,TN,38048,(901) 465-8317,,Fayette County,2020,Dr. Fabre Ford,Grades PK-5
240,Fayette County Public Schools,90,West Junior High School,13100 Highway 194,Oakland,TN,38060,(901) 465-0798,,Fayette County,2020,Dr Josie Z Currie,Grades 6-8
240,Fayette County Public Schools,95,Buckley-Carpenter Elementary School,12580 S Main ST,Somerville,TN,38068,(901) 465-5260,(901) 465-5260,Fayette County,2020,Desiree Bawcum,Grades PK-5
250,Fentress County,5,Allardt Elementary,Box 129 AVE,Allardt,TN,38504,(931) 879-9515,,Fentress County,2020,Ernest Campbell,Grades PK-8
250,Fentress County,25,Clarkrange High School,5801  S  York HWY,Clarkrange,TN,38553,(931) 863-3143,,Fentress County,2020,Judy Jones,Grades 9-12
250,Fentress County,33,South Fentress Elementary School,5018 Wilder RD,Grimsley,TN,38565,(931) 863-3131,,Fentress County,2020,Linda Hodgen,Grades PK-8
250,Fentress County,40,Pine Haven Elementary,800  N  York HWY,Jamestown,TN,38556,(931) 879-9525,,Fentress County,2020,Sheri York,Grades PK-8
250,Fentress County,52,Fentress Co Adult High School,218 Portland AVE,Allardt,TN,38504,(931) 752-8296,,Fentress County,2020,John Cargile,Grades 10-12
250,Fentress County,60,York Elementary,218 School AVE,Jamestown,TN,38556,(931) 879-5832,,Fentress County,2020,Steven Smith,Grades PK-8
260,Franklin County,15,Broadview Elementary,4980  Lynchburg  RD,Winchester,TN,37398,(931) 967-0132,,Franklin County,2020,Sandra Schultz,Grades PK-5
