,HS_County,HS_District,High_School
340,WILLIAMSON,WILLIAMSON COUNTY,FAIRVIEW HIGH SCHOOL
341,WILLIAMSON,WILLIAMSON COUNTY,FRANKLIN HIGH SCHOOL
342,WILLIAMSON,WILLIAMSON COUNTY,FRED J PAGE HIGH SCHOOL
343,WILLIAMSON,WILLIAMSON COUNTY,INDEPENDENCE HIGH SCHOOL
344,WILLIAMSON,WILLIAMSON COUNTY,RAVENWOOD HIGH SCHOOL
345,WILLIAMSON,WILLIAMSON COUNTY,RENAISSANCE HIGH SCHOOL
346,WILLIAMSON,WILLIAMSON COUNTY,SUMMIT HIGH SCHOOL
347,WILSON,WILSON COUNTY,LEBANON HIGH SCHOOL
348,WILSON,WILSON COUNTY,MOUNT JULIET HIGH SCHOOL
349,WILSON,WILSON COUNTY,TENNESSEE VIRTUAL ONLINE SCH
350,WILSON,WILSON COUNTY,WATERTOWN HIGH SCHOOL
351,WILSON,WILSON COUNTY,WILSON CENTRAL HIGH SCHOOL
407,DAVIDSON,DAVIDSON COUNTY,KIPP NASHVILLE COLLEGIATE HIGH SCHOOL
461,HAMILTON,HAMILTON COUNTY,HAMILTON COUNTY VIRTUAL SCHOOL
495,KNOX,KNOX COUNTY,CAREER MAGNET ACADEMY
762,DAVIDSON,DAVIDSON COUNTY,KNOWLEDGE ACADEMIES HIGH SCHOOL
772,DAVIDSON,DAVIDSON COUNTY,REPUBLIC HIGH SCHOOL
773,DAVIDSON,DAVIDSON COUNTY,STEM PREP HIGH SCHOOL
880,MADISON,MADISON COUNTY,JACKSON CENTRAL-MERRY HIGH SCHOOL
972,SHELBY,SHELBY COUNTY,CITY UNIVERSITY SCHOOL OF INDEPENDENCE
1054,WILLIAMSON,WILLIAMSON COUNTY,NOLENSVILLE HIGH SCHOOL
1074,BLOUNT,BLOUNT COUNTY,SAMUEL EVERETT SCHOOL OF INNOVATION
1281,PERRY,PERRY COUNTY,PERRY COUNTY VIRTUAL SCHOOL
1299,ROBERTSON,ROBERTSON COUNTY,TENNESSEE CONNECTIONS ACADEMY 9-12
1308,RUTHERFORD,RUTHERFORD COUNTY,ROCKVALE HIGH SCHOOL
1333,SHELBY,SHELBY COUNTY,"COMPASS COMMUNITY SCHOOL, MIDTOWN CAMPUS"
1479,DAVIDSON,DAVIDSON COUNTY,INTREPID COLLEGE PREPARATORY CHARTER SCHOOL
1484,DAVIDSON,DAVIDSON COUNTY,LEAD PREP SOUTHEAST
1561,HENRY,HENRY COUNTY,HENRY COUNTY VIRTUAL ACADEMY
1564,HICKMAN,HICKMAN COUNTY,HICKMAN COUNTY LEARNING ACADEMY
1592,LAWRENCE,LAWRENCE COUNTY,PIONEER VIRTUAL ACADEMY
1596,LINCOLN,LINCOLN COUNTY,LINCOLN CENTRAL ACADEMY
1621,MAURY,MAURY COUNTY,VIRTUAL ACADEMY OF MAURY COUNTY
1664,ROBERTSON,ROBERTSON COUNTY,ROBERTSON COUNTY PHOENIX ACADEMY
1676,RUTHERFORD,RUTHERFORD COUNTY,RUTHERFORD COUNTY VIRTUAL SCHOOL
1718,SHELBY,SHELBY COUNTY,MEMPHIS RISE ACADEMY
1737,SHELBY,TENNESSEE STATE BOARD OF EDUCATION,BLUFF CITY HIGH SCHOOL
1756,SUMNER,SUMNER COUNTY,SUMNER COUNTY MIDDLE TECHNICAL COLLEGE HIGH SCHOOL AT PORTLAND
1790,WILSON,WILSON COUNTY,GREEN HILL HIGH SCHOOL
